出表日期,公司代號,公司名稱,股東常(臨時)會日期-常或臨時,股東常(臨時)會日期-日期,停止過戶起訖日期-起,停止過戶起訖日期-訖,預擬配發現金(股利)(元/股)-盈餘,預擬配發現金(股利)(元/股)-法定盈餘公積、資本公積,預擬配股(元/股)-盈餘,預擬配股(元/股)-法定盈餘公積、資本公積,擬現金增資金額(元),現金增資認購率(%),員工紅利-現金紅利(元),員工紅利-股票紅利(股),特別股股利(元/股),董監酬勞(元),公告日期,公告時間,種類,date
1150514,1605,華新,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150327,171935,,2026-05-15
1150514,1608,華榮,常會,1150617,1150419,1150617,,,,,,,0,0,,0,1150320,140546,,2026-05-15
1150514,1609,大亞,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150313,160933,,2026-05-15
1150514,1611,中電,常會,1150526,1150328,1150526,,,,,,,0,0,,0,1150311,172204,,2026-05-15
1150514,1612,宏泰,常會,1150609,1150411,1150609,,,,,,,0,0,,0,1150414,105617,,2026-05-15
1150514,1614,三洋電,常會,1150616,1150418,1150616,,,,,,,0,0,,0,1150311,153545,,2026-05-15
1150514,1615,大山,常會,1150615,1150417,1150615,,,,,,,0,0,,0,1150506,92123,,2026-05-15
1150514,1616,億泰,常會,1150615,1150417,1150615,,,,,,,0,0,,0,1150504,144128,,2026-05-15
1150514,1617,榮星,常會,1150616,1150418,1150616,,,,,,,0,0,,0,1150327,165858,,2026-05-15
1150514,1618,合機,常會,1150525,1150327,1150525,,,,,,,0,0,,0,1150305,145618,,2026-05-15
1150514,1623,大東電,常會,1150617,1150419,1150617,,,,,,,0,0,,0,1150505,113138,,2026-05-15
1150514,1626,艾美特-KY,常會,1150608,1150410,1150608,,,,,,,0,0,,0,1150319,92613,,2026-05-15
1150514,1702,南僑,常會,1150526,1150328,1150526,,,,,,,0,0,,0,1150330,161241,,2026-05-15
1150514,1707,葡萄王,常會,1150526,1150328,1150526,,,,,,,0,0,,0,1150305,173853,,2026-05-15
1150514,1708,東鹼,常會,1150520,1150322,1150520,,,,,,,0,0,,0,1150313,94520,,2026-05-15
1150514,1709,和益,常會,1150611,1150413,1150611,,,,,,,0,0,,0,1150415,100644,,2026-05-15
1150514,1710,東聯,常會,1150519,1150321,1150519,,,,,,,0,0,,0,1150304,151341,,2026-05-15
1150514,1711,永光,常會,1150528,1150330,1150528,,,,,,,0,0,,0,1150330,155039,,2026-05-15
1150514,1712,興農,常會,1150526,1150328,1150526,,,,,,,0,0,,0,1150331,173958,,2026-05-15
1150514,1713,國化,常會,1150624,1150426,1150624,,,,,,,0,0,,0,1150312,161845,,2026-05-15
1150514,1714,和桐,常會,1150527,1150329,1150527,,,,,,,0,0,,0,1150331,173414,,2026-05-15
1150514,1717,長興,常會,1150626,1150428,1150626,,,,,,,0,0,,0,1150313,173919,,2026-05-15
1150514,1718,中纖,常會,1150611,1150413,1150611,,,,,,,0,0,,0,1150310,160605,,2026-05-15
1150514,1720,生達,常會,1150512,1150314,1150512,,,,,,,0,0,,0,1150225,85708,,2026-05-15
1150514,1721,三晃,常會,1150616,1150418,1150616,,,,,,,0,0,,0,1150313,151827,,2026-05-15
1150514,1722,台肥,常會,1150527,1150329,1150527,,,,,0,0.00,0,0,,0,1150311,150346,,2026-05-15
1150514,1723,中碳,常會,1150526,1150328,1150526,,,,,,,0,0,,0,1150302,101217,,2026-05-15
1150514,1725,元禎,常會,1150520,1150322,1150520,,,,,,,0,0,,0,1150304,152713,,2026-05-15
1150514,1726,永記,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150309,173958,,2026-05-15
1150514,1727,中華化,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150312,144449,,2026-05-15
1150514,1730,花仙子,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150305,172559,,2026-05-15
1150514,1731,美吾華,常會,1150610,1150412,1150610,,,,,,,0,0,,0,1150302,101746,,2026-05-15
1150514,1732,毛寶,常會,1150611,1150413,1150611,,,,,0,0.00,0,0,,0,1150428,114013,,2026-05-15
1150514,1733,五鼎,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150325,172542,,2026-05-15
1150514,1734,杏輝,常會,1150616,1150418,1150616,,,,,,,0,0,,0,1150324,163952,,2026-05-15
1150514,1735,日勝化,常會,1150527,1150329,1150527,,,,,,,0,0,,0,1150311,162701,,2026-05-15
1150514,1736,喬山,常會,1150624,1150426,1150624,,,,,,,0,0,,0,1150513,93907,,2026-05-15
1150514,1737,臺鹽,常會,1150624,1150426,1150624,,,,,,,0,0,,0,1150330,144615,,2026-05-15
1150514,1752,南光,常會,1150528,1150330,1150528,,,,,,,0,0,,0,1150226,163016,,2026-05-15
1150514,1760,寶齡富錦,常會,1150525,1150327,1150525,,,,,,,0,0,,0,1150326,155739,,2026-05-15
1150514,1762,中化生,常會,1150528,1150330,1150528,,,,,,,0,0,,0,1150310,195901,,2026-05-15
1150514,1773,勝一,常會,1150520,1150322,1150520,,,,,,,0,0,,0,1150305,83123,,2026-05-15
1150514,1776,展宇,常會,1150527,1150329,1150527,,,,,,,0,0,,0,1150311,151936,,2026-05-15
1150514,1783,和康生,常會,1150611,1150413,1150611,,,,,,,0,0,,0,1150320,155803,,2026-05-15
1150514,1786,科妍,常會,1150629,1150501,1150629,,,,,,,0,0,,0,1150429,180316,,2026-05-15
1150514,1789,神隆,常會,1150527,1150329,1150527,,,,,,,0,0,,0,1150310,160632,,2026-05-15
1150514,1795,美時,常會,1150616,1150418,1150616,,,,,,,0,0,,0,1150417,95329,,2026-05-15
1150514,1802,台玻,常會,1150612,1150414,1150612,,,,,,,0,0,,0,1150309,164234,,2026-05-15
1150514,1805,寶徠,常會,1150626,1150428,1150626,,,,,0,0.00,0,0,,0,1150507,101338,,2026-05-15
1150514,1806,冠軍,常會,1150617,1150419,1150617,,,,,,,0,0,,0,1150330,164547,,2026-05-15
1150514,1808,潤隆,常會,1150609,1150411,1150609,,,,,0,0.00,0,0,,0,1150422,165621,,2026-05-15
1150514,1809,中釉,常會,1150623,1150425,1150623,,,,,,,0,0,,0,1150312,162232,,2026-05-15
1150514,1810,和成,常會,1150527,1150329,1150527,,,,,,,0,0,,0,1150310,160637,,2026-05-15
1150514,1817,凱撒衛,常會,1150526,1150328,1150526,,,,,0,0.00,0,0,,0,1150309,102519,,2026-05-15
1150514,1903,士紙,常會,1150605,1150407,1150605,,,,,0,0.00,0,0,,0,1150313,173022,,2026-05-15
1150514,1904,正隆,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150310,162602,,2026-05-15
1150514,1905,華紙,常會,1150616,1150418,1150616,,,,,,,0,0,,0,1150330,93809,,2026-05-15
1150514,1906,寶隆,常會,1150526,1150328,1150526,,,,,,,0,0,,0,1150310,91502,,2026-05-15
1150514,1907,永豐餘,常會,1150612,1150414,1150612,,,,,,,0,0,,0,1150320,103907,,2026-05-15
1150514,1909,榮成,常會,1150527,1150329,1150527,,,,,,,0,0,,0,1150311,172955,,2026-05-15
1150514,2002,中鋼,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150327,172343,,2026-05-15
1150514,2006,東和鋼鐵,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150126,173247,,2026-05-15
1150514,2007,燁興,常會,1150624,1150426,1150624,,,,,,,0,0,,0,1150312,145620,,2026-05-15
1150514,2008,高興昌,常會,1150617,1150419,1150617,,,,,,,0,0,,0,1150430,105752,,2026-05-15
1150514,2009,第一銅,常會,1150624,1150426,1150624,,,,,,,0,0,,0,1150320,140713,,2026-05-15
1150514,2010,春源,常會,1150611,1150413,1150611,,,,,0,0.00,0,0,,0,1150319,154809,,2026-05-15
1150514,2012,春雨,常會,1150528,1150330,1150528,,,,,,,0,0,,0,1150331,112440,,2026-05-15
1150514,2013,中鋼構,常會,1150528,1150330,1150528,,,,,,,0,0,,0,1150310,112340,,2026-05-15
1150514,2014,中鴻,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150305,164307,,2026-05-15
1150514,2015,豐興,常會,1150527,1150329,1150527,,,,,0,0.00,0,0,,0,1150302,91831,,2026-05-15
1150514,2017,官田鋼,常會,1150521,1150323,1150521,,,,,,,0,0,,0,1150303,154000,,2026-05-15
1150514,2020,美亞,常會,1150618,1150420,1150618,,,,,,,0,0,,0,1150427,90239,,2026-05-15
1150514,2022,聚亨,常會,1150528,1150330,1150528,,,,,,,0,0,,0,1150326,161027,,2026-05-15
1150514,2023,燁輝,常會,1150625,1150427,1150625,,,,,,,0,0,,0,1150312,154438,,2026-05-15
1150514,2024,志聯,常會,1150527,1150329,1150527,,,,,,,0,0,,0,1150310,155103,,2026-05-15
1150514,2025,千興,常會,1150609,1150411,1150609,,,,,,,0,0,,0,1150318,145352,,2026-05-15
1150514,2027,大成鋼,常會,1150616,1150418,1150616,,,,,,,0,0,,0,1150312,91019,,2026-05-15
1150514,2028,威致,常會,1150618,1150420,1150618,,,,,0,0.00,0,0,,0,1150316,102115,,2026-05-15
1150514,2029,盛餘,常會,1150612,1150414,1150612,,,,,0,0.00,0,0,,0,1150313,104349,,2026-05-15
1150514,2030,彰源,常會,1150527,1150329,1150527,,,,,0,0.00,0,0,,0,1150310,173311,,2026-05-15
1150514,2031,新光鋼,常會,1150525,1150327,1150525,,,,,,,0,0,,0,1150311,174317,,2026-05-15
