出表日期,公司代號,公司名稱,董事長,總經理,董事長是否兼任總經理,date
1150517,2059,川湖,林聰吉,林淑珍,未兼任,2026-05-18
1150517,2062,橋椿,楊慶祺,楊慶祺,兼任,2026-05-18
1150517,2069,運錩,顏德和,顏德和,兼任,2026-05-18
1150517,2072,世紀風電,賴文祥,余俊緯,未兼任,2026-05-18
1150517,2101,南港,郭林諒,林君穎,未兼任,2026-05-18
1150517,2102,泰豐,郭林諒,鍾政諺,未兼任,2026-05-18
1150517,2103,台橡,殷琪,蔡偉強,未兼任,2026-05-18
1150517,2104,國際中橡,辜公怡,李超儒,未兼任,2026-05-18
1150517,2105,正新,陳榮華,李進昌,未兼任,2026-05-18
1150517,2106,建大,楊&#21843;仁,林建良,未兼任,2026-05-18
1150517,2107,厚生,徐正材,徐正己,未兼任,2026-05-18
1150517,2108,南帝,楊東源,許建祝,未兼任,2026-05-18
1150517,2109,華豐,沈國榮,湯生敏文,未兼任,2026-05-18
1150517,2114,鑫永銓,張惠寬,林季佑,未兼任,2026-05-18
1150517,2115,六暉-KY,吳金鹿,許秀華,未兼任,2026-05-18
1150517,2201,裕隆,嚴陳莉蓮,許國興,未兼任,2026-05-18
1150517,2204,中華,嚴陳莉蓮,曾鑫城,未兼任,2026-05-18
1150517,2206,三陽工業,吳清源,吳清源,兼任,2026-05-18
1150517,2207,和泰車,黃南光,蘇純興,未兼任,2026-05-18
1150517,2208,台船,陳政宏,蔡坤宗,未兼任,2026-05-18
1150517,2211,長榮鋼,林耿立,劉邦恩,未兼任,2026-05-18
1150517,2227,裕日車,嚴陳莉蓮,姚振祥,未兼任,2026-05-18
1150517,2228,劍麟,黃正怡,黃正忠,未兼任,2026-05-18
1150517,2231,為升,黃淑媛,尤山泉,未兼任,2026-05-18
1150517,2233,宇隆,劉俊昌,蔡銘東,未兼任,2026-05-18
1150517,2236,百達-KY,黃亮茳,黃泓杰,未兼任,2026-05-18
1150517,2239,英利-KY,林上煒,林上琦,未兼任,2026-05-18
1150517,2241,艾姆勒,林啟聖,石志鴻,未兼任,2026-05-18
1150517,2243,宏旭-KY,林維源,陳廣瑞(代理),未兼任,2026-05-18
1150517,2247,汎德永業,唐慕蓮,杜黃旭,未兼任,2026-05-18
1150517,2248,華勝-KY,陳鏗勝,陳鏗勝,兼任,2026-05-18
1150517,2250,IKKA-KY,胡湘麒,小原正美,未兼任,2026-05-18
1150517,2254,巨鎧精密-創,吳柏樺,吳柏樺/吳志彬,未兼任,2026-05-18
1150517,2258,鴻華先進-創,李秉彥,陳清亞,未兼任,2026-05-18
1150517,2301,光寶科,宋明峰,邱森彬,未兼任,2026-05-18
1150517,2302,麗正,林文騰,林文騰,兼任,2026-05-18
1150517,2303,聯電,洪嘉聰,"執行長 王石,  總經理暨營運長 徐明志",未兼任,2026-05-18
1150517,2305,全友,吳金來,謝靜慧,未兼任,2026-05-18
1150517,2308,台達電,鄭平,張訓海,未兼任,2026-05-18
1150517,2312,金寶,許介立,陳威昌,未兼任,2026-05-18
1150517,2313,華通,江培琨,吳柏毅,未兼任,2026-05-18
1150517,2314,台揚,謝其嘉,吳永欽,未兼任,2026-05-18
1150517,2316,楠梓電,徐漢忠,陳志康,未兼任,2026-05-18
1150517,2317,鴻海,劉揚偉,劉揚偉,兼任,2026-05-18
1150517,2321,東訊,吳素秋,田瑛睿,未兼任,2026-05-18
1150517,2323,中環,翁明顯,關山孝行,未兼任,2026-05-18
1150517,2324,仁寶,陳瑞聰,Anthony Peter Bonadero,未兼任,2026-05-18
1150517,2327,國巨*,陳泰銘,王淡如,未兼任,2026-05-18
1150517,2328,廣宇,李光曜,蔡明峰,未兼任,2026-05-18
1150517,2329,華泰,董&#24742;明,涂家榮,未兼任,2026-05-18
1150517,2330,台積電,魏哲家,總裁: 魏哲家,未兼任,2026-05-18
1150517,2331,精英,張榮華,翁育斌,未兼任,2026-05-18
1150517,2332,友訊,郭金河,張家瑞,未兼任,2026-05-18
1150517,2337,旺宏,吳敏求,盧志遠,未兼任,2026-05-18
1150517,2338,光罩,&#20931;俊光,陳立惇,未兼任,2026-05-18
1150517,2340,台亞,李國光,蔡育軒,未兼任,2026-05-18
1150517,2342,茂矽,唐亦仙,盧建志,未兼任,2026-05-18
1150517,2344,華邦電,焦佑鈞,陳沛銘,未兼任,2026-05-18
1150517,2345,智邦,黃國修,李訓德,未兼任,2026-05-18
1150517,2347,聯強,苗豐強,杜書伍,未兼任,2026-05-18
1150517,2348,海悅,黃希文,王俊傑,未兼任,2026-05-18
1150517,2349,錸德,葉垂景,王鼎章,未兼任,2026-05-18
1150517,2351,順德,陳朝雄,陳維德,未兼任,2026-05-18
1150517,2352,佳世達,陳其宏,柯淑芬,未兼任,2026-05-18
1150517,2353,宏碁,陳俊聖,簡慧祥,未兼任,2026-05-18
1150517,2354,鴻準,陳國寶,潘彥仁,未兼任,2026-05-18
1150517,2355,敬鵬,曾劉玉枝,林玉女,未兼任,2026-05-18
1150517,2356,英業達,葉力誠,蔡枝安,未兼任,2026-05-18
1150517,2357,華碩,施崇棠,許先越/胡書賓,未兼任,2026-05-18
1150517,2359,所羅門,陳政隆,陳政隆,兼任,2026-05-18
1150517,2360,致茂,黃欽明,曾一士,未兼任,2026-05-18
1150517,2362,藍天,許崑泰,蔡明賢,未兼任,2026-05-18
1150517,2363,矽統,洪嘉聰,戎樂天,未兼任,2026-05-18
1150517,2364,倫飛,高育仁,高思復,未兼任,2026-05-18
1150517,2365,昆盈,卓世坤,李百祥,未兼任,2026-05-18
1150517,2367,燿華,張元銘,叢守璞,未兼任,2026-05-18
1150517,2368,金像電,楊承澤,楊承澤,兼任,2026-05-18
1150517,2369,菱生,葉樹泉,蔡澤松,未兼任,2026-05-18
1150517,2371,大同,張榮華,張松鑌,未兼任,2026-05-18
1150517,2373,震旦行,馬志賢,游炎林,未兼任,2026-05-18
1150517,2374,佳能,章孝祺,章孝祺,兼任,2026-05-18
1150517,2375,凱美,呂紹萍,劉文亮,未兼任,2026-05-18
1150517,2376,技嘉,葉培城,李宜泰/林英宇,未兼任,2026-05-18
1150517,2377,微星,徐祥,黃金請,未兼任,2026-05-18
1150517,2379,瑞昱,邱順建,顏光裕,未兼任,2026-05-18
1150517,2380,虹光,盛少瀾,盛少瀾,兼任,2026-05-18
1150517,2382,廣達,林百里,梁次震,未兼任,2026-05-18
1150517,2383,台光電,董定宇,董定宇,兼任,2026-05-18
1150517,2385,群光,許崑泰,呂進宗,未兼任,2026-05-18
1150517,2387,精元,蔡火爐,羅逸,未兼任,2026-05-18
1150517,2388,威盛,陳文琦,陳文琦,兼任,2026-05-18
1150517,2390,云辰,張姿玲,呂麗筑,未兼任,2026-05-18
1150517,2392,正崴,郭台強,郭台強,兼任,2026-05-18
1150517,2393,億光,葉寅夫,葉寅夫,兼任,2026-05-18
1150517,2395,研華,劉克振,陳清熙、蔡淑妍、張家豪,未兼任,2026-05-18
1150517,2397,友通,陳其宏,田芝穎,未兼任,2026-05-18
1150517,2399,映泰,王明義,王明正,未兼任,2026-05-18
1150517,2401,凌陽,黃洲杰,黃洲杰,兼任,2026-05-18
1150517,2402,毅嘉,黃秋永,曾恭勝,未兼任,2026-05-18
