出表日期,報告年度,公司代號,公司名稱,產品生命週期管理之揭露：報廢產品及電子廢棄物之重量(公噸(t)),產品生命週期管理之揭露：含報廢產品及電子廢棄物之再循環之百分比,date
1150513,113,2511,太子,N/A,N/A,2026-05-15
1150513,113,2514,龍邦,N/A,N/A,2026-05-15
1150513,113,2520,冠德,N/A,N/A,2026-05-15
1150513,113,2524,京城,N/A,N/A,2026-05-15
1150513,113,2528,皇普,N/A,N/A,2026-05-15
1150513,113,2530,華建,N/A,N/A,2026-05-15
1150513,113,2534,宏盛,N/A,N/A,2026-05-15
1150513,113,2535,達欣工,N/A,N/A,2026-05-15
1150513,113,2537,聯上發,N/A,N/A,2026-05-15
1150513,113,2539,櫻花建,N/A,N/A,2026-05-15
1150513,113,2542,興富發,N/A,N/A,2026-05-15
1150513,113,2543,皇昌,N/A,N/A,2026-05-15
1150513,113,2546,根基,0.0000,0.00%,2026-05-15
1150513,113,2548,華固,N/A,N/A,2026-05-15
1150513,113,2597,潤弘,N/A,N/A,2026-05-15
1150513,113,2601,益航,N/A,N/A,2026-05-15
1150513,113,2603,長榮,N/A,N/A,2026-05-15
1150513,113,2607,榮運,N/A,N/A,2026-05-15
1150513,113,2608,嘉里大榮,N/A,N/A,2026-05-15
1150513,113,2609,陽明,N/A,N/A,2026-05-15
1150513,113,2610,華航,N/A,N/A,2026-05-15
1150513,113,2612,中航,N/A,N/A,2026-05-15
1150513,113,2614,東森,N/A,N/A,2026-05-15
1150513,113,2616,山隆,N/A,N/A,2026-05-15
1150513,113,2617,台航,N/A,N/A,2026-05-15
1150513,113,2618,長榮航,N/A,N/A,2026-05-15
1150513,113,2630,亞航,N/A,N/A,2026-05-15
1150513,113,2634,漢翔,N/A,N/A,2026-05-15
1150513,113,2636,台驊控股,N/A,N/A,2026-05-15
1150513,113,2637,慧洋-KY,N/A,N/A,2026-05-15
1150513,113,2642,宅配通,N/A,N/A,2026-05-15
1150513,113,2646,星宇航空,N/A,N/A,2026-05-15
1150513,113,2701,萬企,N/A,N/A,2026-05-15
1150513,113,2702,華園,N/A,N/A,2026-05-15
1150513,113,2704,國賓,N/A,N/A,2026-05-15
1150513,113,2705,六福,N/A,N/A,2026-05-15
1150513,113,2706,第一店,0.0000,0.00%,2026-05-15
1150513,113,2707,晶華,N/A,N/A,2026-05-15
1150513,113,2712,遠雄來,N/A,N/A,2026-05-15
1150513,113,2722,夏都,0.0000,0.00%,2026-05-15
1150513,113,2723,美食-KY,N/A,N/A,2026-05-15
1150513,113,2727,王品,N/A,N/A,2026-05-15
1150513,113,2739,寒舍,N/A,N/A,2026-05-15
1150513,113,2753,八方雲集,N/A,N/A,2026-05-15
1150513,113,2801,彰銀,N/A,N/A,2026-05-15
1150513,113,2816,旺旺保,0.0000,0.00%,2026-05-15
1150513,113,2836,高雄銀,N/A,N/A,2026-05-15
1150513,113,2838,聯邦銀,N/A,N/A,2026-05-15
1150513,113,2845,遠東銀,N/A,N/A,2026-05-15
1150513,113,2849,安泰銀,N/A,N/A,2026-05-15
1150513,113,2850,新產,N/A,N/A,2026-05-15
1150513,113,2851,中再保,N/A,N/A,2026-05-15
1150513,113,2867,三商壽,7.1800,100.00%,2026-05-15
1150513,113,2880,華南金,N/A,N/A,2026-05-15
1150513,113,2881,富邦金,N/A,N/A,2026-05-15
1150513,113,2882,國泰金,N/A,N/A,2026-05-15
1150513,113,2883,凱基金,N/A,N/A,2026-05-15
1150513,113,2884,玉山金,N/A,N/A,2026-05-15
1150513,113,2885,元大金,N/A,N/A,2026-05-15
1150513,113,2886,兆豐金,N/A,N/A,2026-05-15
1150513,113,2887,台新金,N/A,N/A,2026-05-15
1150513,113,2891,中信金,N/A,N/A,2026-05-15
1150513,113,2892,第一金,N/A,N/A,2026-05-15
1150513,113,2897,王道銀行,N/A,N/A,2026-05-15
1150513,113,2903,遠百,N/A,N/A,2026-05-15
1150513,113,2904,匯僑,N/A,N/A,2026-05-15
1150513,113,2905,三商,N/A,N/A,2026-05-15
1150513,113,2906,高林,N/A,N/A,2026-05-15
1150513,113,2911,麗嬰房,N/A,N/A,2026-05-15
1150513,113,2915,潤泰全,N/A,N/A,2026-05-15
1150513,113,2929,淘帝-KY,N/A,N/A,2026-05-15
1150513,113,2939,永邑-KY,N/A,N/A,2026-05-15
1150513,113,3004,豐達科,N/A,N/A,2026-05-15
1150513,113,3005,神基,19.0298,43.37%,2026-05-15
1150513,113,3006,晶豪科,0.4566,0.04%,2026-05-15
1150513,113,3008,大立光,N/A,N/A,2026-05-15
1150513,113,3010,華立,0.0000,0.00%,2026-05-15
1150513,113,3011,今皓,N/A,N/A,2026-05-15
1150513,113,3013,晟銘電,6794.0000,97.00%,2026-05-15
1150513,113,3014,聯陽,1.7094,0.00%,2026-05-15
1150513,113,3015,全漢,22.9997,0.00%,2026-05-15
1150513,113,3016,嘉晶,4.3868,5.12%,2026-05-15
1150513,113,3017,奇鋐,17195.7200,82.25%,2026-05-15
1150513,113,3019,亞光,N/A,N/A,2026-05-15
1150513,113,3022,威強電,N/A,N/A,2026-05-15
1150513,113,3023,信邦,1944.0200,63.45%,2026-05-15
1150513,113,3024,憶聲,N/A,N/A,2026-05-15
1150513,113,3026,禾伸堂,N/A,N/A,2026-05-15
1150513,113,3027,盛達,N/A,N/A,2026-05-15
1150513,113,3028,增你強,0.1900,0.00%,2026-05-15
1150513,113,3030,德律,0.0000,0.00%,2026-05-15
1150513,113,3032,偉訓,N/A,N/A,2026-05-15
1150513,113,3033,威健,0.5800,0.00%,2026-05-15
1150513,113,3034,聯詠,49.5100,0.16%,2026-05-15
1150513,113,3035,智原,N/A,N/A,2026-05-15
1150513,113,3036,文曄,1.5259,100.00%,2026-05-15
1150513,113,3037,欣興,1806.9400,100.00%,2026-05-15
1150513,113,3040,遠見,N/A,N/A,2026-05-15
1150513,113,3042,晶技,0.1119,6.00%,2026-05-15
1150513,113,3043,科風,N/A,N/A,2026-05-15
1150513,113,3044,健鼎,2596.0000,100.00%,2026-05-15
1150513,113,3045,台灣大,2101.9014,53.89%,2026-05-15
1150513,113,3046,建碁,0.0000,0.00%,2026-05-15
1150513,113,3047,訊舟,N/A,N/A,2026-05-15
1150513,113,3048,益登,0.0000,0.00%,2026-05-15
1150513,113,3049,精金,0.0000,0.00%,2026-05-15
1150513,113,3051,力特,N/A,N/A,2026-05-15
1150513,113,3056,富華新,N/A,N/A,2026-05-15
1150513,113,3058,立德,N/A,N/A,2026-05-15
1150513,113,3059,華晶科,N/A,N/A,2026-05-15
1150513,113,3060,銘異,N/A,N/A,2026-05-15
1150513,113,3090,日電貿,N/A,N/A,2026-05-15
1150513,113,3094,聯傑,N/A,N/A,2026-05-15
1150513,113,3130,一零四,N/A,N/A,2026-05-15
1150513,113,3149,正達,0.0000,0.00%,2026-05-15
1150513,113,3150,鈺寶-創,N/A,N/A,2026-05-15
1150513,113,3164,景岳,N/A,N/A,2026-05-15
1150513,113,3189,景碩,59.3310,0.00%,2026-05-15
1150513,113,3209,全科,0.0000,0.00%,2026-05-15
1150513,113,3229,晟鈦,N/A,N/A,2026-05-15
1150513,113,3231,緯創,N/A,N/A,2026-05-15
1150513,113,3305,昇貿,N/A,N/A,2026-05-15
1150513,113,3308,聯德,N/A,N/A,2026-05-15
1150513,113,3311,閎暉,N/A,N/A,2026-05-15
1150513,113,3338,泰碩,0.0000,0.00%,2026-05-15
1150513,113,3346,麗清,N/A,N/A,2026-05-15
1150513,113,3356,奇偶,N/A,N/A,2026-05-15
1150513,113,3380,明泰,45.5386,100.00%,2026-05-15
1150513,113,3413,京鼎,N/A,N/A,2026-05-15
1150513,113,3416,融程電,0.8220,N/A,2026-05-15
1150513,113,3432,台端,0.0000,0.00%,2026-05-15
1150513,113,3437,榮創,N/A,N/A,2026-05-15
1150513,113,3443,創意,N/A,N/A,2026-05-15
1150513,113,3447,展達,N/A,N/A,2026-05-15
1150513,113,3450,聯鈞,N/A,N/A,2026-05-15
1150513,113,3481,群創,261.9000,100.00%,2026-05-15
1150513,113,3494,誠研,N/A,N/A,2026-05-15
1150513,113,3501,維熹,N/A,N/A,2026-05-15
1150513,113,3504,揚明光,0.6050,0.00%,2026-05-15
1150513,113,3515,華擎,N/A,N/A,2026-05-15
1150513,113,3532,台勝科,105.1900,100.00%,2026-05-15
1150513,113,3535,晶彩科,0.1550,0.00%,2026-05-15
1150513,113,3543,州巧,N/A,N/A,2026-05-15
1150513,113,3545,敦泰,0.4590,2.30%,2026-05-15
1150513,113,3563,牧德,N/A,N/A,2026-05-15
1150513,113,3576,聯合再生,0.0000,0.00%,2026-05-15
1150513,113,3583,辛耘,N/A,N/A,2026-05-15
1150513,113,3588,通嘉,N/A,N/A,2026-05-15
1150513,113,3596,智易,N/A,N/A,2026-05-15
1150513,113,3605,宏致,N/A,N/A,2026-05-15
1150513,113,3607,谷崧,N/A,N/A,2026-05-15
1150513,113,3652,精聯,0.4900,N/A,2026-05-15
1150513,113,3661,世芯-KY,N/A,N/A,2026-05-15
1150513,113,3665,貿聯-KY,N/A,N/A,2026-05-15
1150513,113,3673,TPK-KY,36.0100,100.00%,2026-05-15
1150513,113,3679,新至陞,0.0000,0.00%,2026-05-15
1150513,113,3686,達能,N/A,N/A,2026-05-15
1150513,113,3694,海華,N/A,N/A,2026-05-15
1150513,113,3701,大眾控,N/A,N/A,2026-05-15
1150513,113,3702,大聯大,N/A,N/A,2026-05-15
1150513,113,3704,合勤控,N/A,N/A,2026-05-15
1150513,113,3706,神達,N/A,N/A,2026-05-15
1150513,113,3708,上緯投控,0.0000,0.00%,2026-05-15
1150513,113,3711,日月光投控,641.2744,1.43%,2026-05-15
1150513,113,3712,永崴投控,N/A,N/A,2026-05-15
1150513,113,3714,富采,N/A,N/A,2026-05-15
1150513,113,3715,定穎投控,1449.0000,100.00%,2026-05-15
1150513,113,4106,雃博,3.2936,0.00%,2026-05-15
1150513,113,4142,國光生,N/A,N/A,2026-05-15
1150513,113,4148,全宇生技-KY,N/A,N/A,2026-05-15
1150513,113,4155,訊映,N/A,N/A,2026-05-15
