出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人),員工薪資平均數(仟元/人) ,非擔任主管職務之全時員工薪資平均數(仟元/人) ,非擔任主管職務之全時員工薪資平均數變動百分比,非擔任主管之全時員工薪資中位數(仟元/人) ,非擔任主管職務之全時員工薪資中位數變動百分比,管理職女性主管佔比,新進員工年齡分布,離職員工年齡分布,高齡員工晉用政策及培訓計畫,date
1150513,113,1540,喬福,767,636,625,4.17%,588,3.34%,0.00%,,,,2026-05-15
1150513,113,1541,錩泰,580,474,500,3.09%,428,3.63%,4.30%,,,,2026-05-15
1150513,113,1558,伸興,1121,971,755,-8.04%,703,-4.87%,49.00%,,,,2026-05-15
1150513,113,1560,中砂,1095,884,855,5.69%,782,5.68%,5.83%,,,,2026-05-15
1150513,113,1563,巧新,764,632,604,,568,,21.62%,,,,2026-05-15
1150513,113,1568,倉佑,746,612,595,-0.34%,540,-0.74%,26.32%,,,,2026-05-15
1150513,113,1582,信錦,1647,1467,1225,12.28%,1107,12.50%,15.22%,,,,2026-05-15
1150513,113,1583,程泰,930,768,781,8.32%,714,6.25%,20.00%,,,,2026-05-15
1150513,113,1587,吉茂,778,662,498,6.18%,450,2.51%,21.43%,,,,2026-05-15
1150513,113,1589,永冠-KY,N/A,N/A,N/A,,N/A,,17.65%,,,,2026-05-15
1150513,113,1590,亞德客-KY,N/A,N/A,N/A,,N/A,,9.66%,,,,2026-05-15
1150513,113,1597,直得,820,691,617,11.57%,537,16.99%,36.36%,,,,2026-05-15
1150513,113,1598,岱宇,637,530,555,3.16%,485,2.97%,28.57%,,,,2026-05-15
1150513,113,1603,華電,771,663,608,4.65%,521,2.16%,32.61%,,,,2026-05-15
1150513,113,1604,聲寶,1069,892,850,3.16%,763,2.55%,9.87%,,,,2026-05-15
1150513,113,1605,華新,1230,1103,1112,1.65%,921,3.60%,19.50%,,,,2026-05-15
1150513,113,1608,華榮,936,780,827,6.16%,800,5.68%,19.04%,,,,2026-05-15
1150513,113,1609,大亞,1577,1397,1002,-22.92%,947,-20.15%,18.90%,,,,2026-05-15
1150513,113,1611,中電,825,713,531,14.94%,531,14.94%,0.00%,,,,2026-05-15
1150513,113,1612,宏泰,1316,1161,1230,18.50%,961,3.11%,21.28%,,,,2026-05-15
1150513,113,1614,三洋電,528,414,580,1.05%,543,-1.63%,1.73%,,,,2026-05-15
1150513,113,1615,大山,974,827,752,8.83%,689,11.13%,30.77%,,,,2026-05-15
1150513,113,1616,億泰,1006,864,752,7.89%,643,3.71%,17.50%,,,,2026-05-15
1150513,113,1617,榮星,801,677,636,1.76%,577,2.49%,8.55%,,,,2026-05-15
1150513,113,1618,合機,1101,946,898,13.10%,802,12.48%,8.76%,,,,2026-05-15
1150513,113,1626,艾美特-KY,N/A,N/A,N/A,,N/A,,0.72%,,,,2026-05-15
1150513,113,1702,南僑,4478,4124,1278,7.85%,943,9.52%,37.66%,,,,2026-05-15
1150513,113,1707,葡萄王,1039,900,845,0.00%,769,4.48%,43.76%,,,,2026-05-15
1150513,113,1708,東鹼,1433,1261,1073,49.03%,919,41.38%,45.45%,,,,2026-05-15
1150513,113,1709,和益,2196,1954,1691,43.91%,1556,46.38%,14.28%,,,,2026-05-15
1150513,113,1710,東聯,1333,998,1067,3.59%,994,1.74%,6.82%,,,,2026-05-15
1150513,113,1711,永光,867,722,725,0.97%,693,1.61%,16.00%,,,,2026-05-15
1150513,113,1712,興農,893,760,767,1.99%,688,3.30%,25.62%,,,,2026-05-15
1150513,113,1713,國化,2042,1886,892,6.44%,855,7.82%,33.33%,,,,2026-05-15
1150513,113,1714,和桐,1005,840,829,6.15%,687,6.84%,28.57%,,,,2026-05-15
1150513,113,1717,長興,1173,971,968,6.26%,844,6.03%,16.54%,,,,2026-05-15
1150513,113,1718,中纖,843,670,655,0.15%,611,0.49%,2.04%,,,,2026-05-15
1150513,113,1720,生達,1010,853,898,2.16%,771,1.45%,30.56%,,,,2026-05-15
1150513,113,1721,三晃,858,697,734,3.53%,694,2.81%,9.00%,,,,2026-05-15
