出表日期,報告年度,公司代號,公司名稱,薪酬委員會席次,薪酬委員會獨立董事席次,薪酬委員會出席率,審計委員會席次,審計委員會出席率,date
1150513,113,2405,輔信,3,3,100.00%,7,100.00%,2026-05-15
1150513,113,2406,國碩,4,4,100.00%,4,94.50%,2026-05-15
1150513,113,2408,南亞科,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2409,友達,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,2412,中華電,3,3,100.00%,5,100.00%,2026-05-15
1150513,113,2413,環科,4,4,100.00%,4,95.00%,2026-05-15
1150513,113,2414,精技,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2415,錩新,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,2417,圓剛,4,4,90.00%,4,75.00%,2026-05-15
1150513,113,2419,仲琦,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2420,新巨,3,2,100.00%,3,93.33%,2026-05-15
1150513,113,2421,建準,3,2,100.00%,4,100.00%,2026-05-15
1150513,113,2423,固緯,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2424,隴華,3,2,100.00%,4,93.75%,2026-05-15
1150513,113,2425,承啟,4,4,87.50%,4,87.50%,2026-05-15
1150513,113,2426,鼎元,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2427,三商電,5,4,100.00%,4,87.50%,2026-05-15
1150513,113,2428,興勤,3,2,100.00%,4,100.00%,2026-05-15
1150513,113,2429,銘旺科,3,3,88.89%,3,87.50%,2026-05-15
1150513,113,2430,燦坤,3,3,100.00%,3,94.44%,2026-05-15
1150513,113,2431,聯昌,3,1,100.00%,1,100.00%,2026-05-15
1150513,113,2432,倚天酷碁-創,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2433,互盛電,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2434,統懋,3,3,100.00%,3,94.40%,2026-05-15
1150513,113,2436,偉詮電,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2438,翔耀,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2439,美律,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2440,太空梭,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,2441,超豐,3,3,100.00%,3,91.67%,2026-05-15
1150513,113,2442,新美齊,3,3,100.00%,3,96.30%,2026-05-15
1150513,113,2444,兆勁,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2449,京元電子,4,3,100.00%,3,100.00%,2026-05-15
1150513,113,2450,神腦,4,4,100.00%,4,94.12%,2026-05-15
1150513,113,2451,創見,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,2453,凌群,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,2454,聯發科,3,2,100.00%,4,100.00%,2026-05-15
1150513,113,2455,全新,3,2,66.67%,3,100.00%,2026-05-15
1150513,113,2457,飛宏,4,4,93.75%,4,94.44%,2026-05-15
1150513,113,2458,義隆,3,3,100.00%,4,96.43%,2026-05-15
1150513,113,2459,敦吉,4,4,100.00%,4,95.00%,2026-05-15
1150513,113,2460,建通,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,2461,光群雷,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,2462,良得電,4,4,92.00%,4,95.00%,2026-05-15
1150513,113,2464,盟立,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,2466,冠西電,3,3,100.00%,3,94.44%,2026-05-15
1150513,113,2467,志聖,3,3,89.47%,3,89.47%,2026-05-15
1150513,113,2468,華經,3,3,91.67%,3,100.00%,2026-05-15
1150513,113,2471,資通,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,2472,立隆電,3,2,91.67%,4,95.00%,2026-05-15
