出表日期,產業類別,公司代號,公司名稱,董事酬金-前年支付,董事酬金-今年支付,董事酬金-合計,董事酬金加計兼任員工酬金-前年支付,董事酬金加計兼任員工酬金-今年支付,加計兼任員工酬金-合計,酬金總額占稅後損益百分比(%)-董事酬金,酬金總額占稅後損益百分比(%)-加計兼任員工酬金,平均每位董事酬金-董事酬金,平均每位董事酬金-加計兼任員工酬金,領取來自子公司以外轉投資事業或母公司酬金,稅後純益,每股盈餘,股東權益報酬率(%),實收資本額(仟元),稅後損益與董監酬金變動之關聯性與合理性說明,date
1150415,鋼鐵工業,2029,盛餘,686071,1840000,2526071,13806058,1897000,15703058,+1.0565,+6.5675,248385,1544057,0,+239101,0.74,2.47,3211800.000000,"依本公司章程規定，本公司董事之報酬，依其對本公司營運參與之程度及貢獻之價值，並參酌同業通常水準，授權董事會議定之。
本年度之董事酬金佔稅後純益6.57%，較前一年度減少158萬元及本年度不含兼任員工領取相關酬金之董事酬金佔稅後純益1.06%，較前一年度減少164萬元，主係本年度稅後純益較前一年度減少342,132仟元(58.9%)所致。",2026-05-18
1150415,鋼鐵工業,2030,彰源,4297000,1371248,5668248,16383451,1443585,17827036,+5.8420,+18.3735,629805,1980782,0,+97026,0.35,1.95,2805260.000000,"114年度稅後純益金額較113年度減少138,801仟元，114年度董事酬金金額較113年度減少1,678仟元，佔稅後純益比例增加是因114年度之稅後純益較113年度下降58.86%；本公司董事酬金金額並未高於同業水準，均經本公司薪資報酬委員會審議，應屬合理。",2026-05-18
1150415,鋼鐵工業,2031,新光鋼,9626653,38578860,48205513,19908490,42818860,62727350,+4.5552,+5.9275,4820551,6272735,0,+1058251,3.30,8.87,3211463.000000,"一、 本公司中華民國114年度全體董事薪資報酬政策未有重大變動。
二、 依據本公司章程第廿條之本公司年度如有獲利，由董事會決議提撥3%為董事酬勞。",2026-05-18
1150415,鋼鐵工業,2032,新鋼,3348000,809508,4157508,7607968,829508,8437476,+5.6868,+11.5411,461945,937497,728555,+73108,0.56,4.21,1305215.000000,"本公司給付董事酬金之政策與標準皆列於公司章程內且經董事會通過，董事酬勞亦參考同業水準訂定。
本公司支付董事之酬&#63754;發放與經營績效之關&#63895;性呈正相關。並皆依規定報請薪酬委員會審定之。",2026-05-18
1150415,鋼鐵工業,2033,佳大,4115908,1115484,5231392,14334527,1163066,15497593,+18.4816,+54.7502,847876,2511765,0,+28306,0.35,2.70,806945.000000,"公司114年獲利,因此依章程規定發放員工及董事酬勞,業務執行費與去年標準相同,其餘酬金皆為兼任員工所得,與去年無顯著差異。",2026-05-18
1150415,鋼鐵工業,2034,允強,6270000,0,6270000,27417237,847799,28265036,+5.8283,+26.2740,696667,3140560,0,+107578,0.21,1.06,5289956.000000,本公司董事酬金依據「公司章程」及「董事及其兼任功能性委員會酬金給付辦法」辦理，本年度應分配之董事酬勞，扣除全體獨立董事薪資後已無餘額，故不予發放。,2026-05-18
1150415,鋼鐵工業,2038,海光,2631000,0,2631000,11791800,0,11791800,-2.4127,-10.8135,276947,1241242,25000,-109047,-0.56,-3.12,1941343.000000,"本公司114年度稅後淨損109,046,597元，故本年度不發放酬金。",2026-05-18
1150415,鋼鐵工業,2069,運錩,7296000,892500,8188500,8644009,892500,9536509,+3.0354,+3.5351,1169786,1362358,0,+269767,1.62,6.60,1663868.000000,"稅後損益與酬金變動之關聯性與合理性說明(註10)：
本公司係以當年度扣除分派員工及董事酬勞前之稅前淨利分別以不低於2%及不高於2%提撥員工酬勞及董事酬勞。
113年度為稅前淨損，故未估列員工酬勞及董事酬勞
		114年度
估列比例				
員工酬勞（％）	 2.00
董事酬勞（％）	 0.35
				
金額				
員工酬勞	        $5,110
董事酬勞	           893",2026-05-18
1150415,鋼鐵工業,2211,長榮鋼,12624000,7000000,19624000,12624000,7000000,19624000,+0.5471,+0.5471,2803429,2803429,0,+3587049,8.60,12.99,4170915.000000,"1.本公司董事之酬金，依據本公司章程及「董事酬金給付辦法」，並參酌各董
事對公司營運參與度及貢獻價值議定之；董事酬金須經本公司薪資報酬委員會
核議後，將所提建議提請董事會決議通過。2.本公司章程規定員工酬勞及董事
酬勞配發原則為「本公司年度如有獲利，應提撥員工酬勞不得低於百分之Ｏ•五
及董事酬勞不得高於百分之二。員工酬&#63791;中應保&#63949;&#63847;低於百分之&#63953;十予基層員
工。但公司尚有累積虧損時，應預先保留彌補數額後，再依前述原則提撥員工
酬勞及董事酬勞。」3.本公司114年度董事酬金符合本公司章程及「董事酬金
給付辦法」之規定。",2026-05-18
1150415,鋼鐵工業,3004,豐達科,1749280,2030000,3779280,15480080,2030000,17510080,+1.1419,+5.2908,419920,1945564,2752000,+330951,5.85,10.39,642584.000000,"1.本公司給付董事之酬金除依照公司章程規定提撥董事酬勞，
且授權董事會依薪資報酬委員會建議、對公司營運參與程度及貢獻之價
值，參照同業水準及本公司核薪辦法議定之。 
2.依據本公司章程第十八條規定：本公司年度如有獲利(即稅前利益扣除分派員工、董事酬勞前之利益)，應提撥百分之一以上，但不超過百分之十為員工酬勞(本項員工酬勞數額，應不低於百分之三十分派予基層員工)及不高於百分之二為董事酬勞，由董事會決議分派。",2026-05-18
1150415,鋼鐵工業,5007,三星,5040000,0,5040000,13432600,0,13432600,+0.5655,+1.5071,560000,1492511,0,+891292,3.02,12.03,2949401.000000,"依公司董事會決議本屆董監事酬勞不論公司獲利情形均為0元，只有每月每人
固定報酬40,000元，出席董事會車馬費每次每人10,000元，而114年董事酬金
5,040,000元較113年4,020,000元多1,020,000元，主要是因自114年起董事
每月每人固定報酬從30,000元調整為40,000元。",2026-05-18
1150415,鋼鐵工業,9958,世紀鋼,9550000,26260000,35810000,14196783,27042356,41239139,+2.1706,+2.4997,3978889,4582127,0,+1649777,6.57,12.13,2468967.000000,因稅後淨利下降，故給董事酬金總額下降。,2026-05-18
1150415,橡膠工業,2101,南港,3840040,0,3840040,8526415,3739,8530154,+0.4742,+1.0534,426671,947795,0,+809784,1.01,6.17,7339349.000000,"1.董事酬金較上年度增加220,455元，增加6.09%。
2.稅後純益較上年度減少2,138,100仟元，減少72.53%。",2026-05-18
1150415,橡膠工業,2102,泰豐,4250000,0,4250000,5282800,0,5282800,+0.1473,+0.1831,472222,586978,0,+2884632,6.28,35.19,4733292.000000,"本公司章程明訂公司年度如有獲利(指稅前利益扣除員工酬勞及董事酬勞前之利益)，應提撥0.1% 至1%為員工酬勞及不高於3%為董事酬勞。但公司尚有累積虧損(包括調整未分配盈餘)時，應預先保留彌補數額。
本公司114年底尚有累積虧損，董事會決議不分派114年董事及員工酬勞。",2026-05-18
