出表日期,報告年度,公司代號,公司名稱,職業災害人數及比率-人數,職業災害人數及比率-比率,火災件數(件),火災死傷人數(人),火災死傷人數占員工總人數比率,date
1150513,113,1810,和成,0,0.00%,0,0,0,2026-05-15
1150513,113,1817,凱撒衛,4,2.03%,0,0,0,2026-05-15
1150513,113,1903,士紙,0,0.00%,0,0,0,2026-05-15
1150513,113,1904,正隆,21,0.32%,0,0,0,2026-05-15
1150513,113,1905,華紙,23,0.79%,0,0,0,2026-05-15
1150513,113,1906,寶隆,0,0.00%,0,0,0,2026-05-15
1150513,113,1907,永豐餘,34,0.34%,0,0,0,2026-05-15
1150513,113,1909,榮成,1,0.10%,0,0,0,2026-05-15
1150513,113,2002,中鋼,19,0.20%,6,0,0.00%,2026-05-15
1150513,113,2006,東和鋼鐵,21,0.98%,0,0,0,2026-05-15
1150513,113,2007,燁興,1,0.22%,0,0,0,2026-05-15
1150513,113,2008,高興昌,3,1.44%,0,0,0,2026-05-15
1150513,113,2009,第一銅,8,3.33%,0,0,0.00%,2026-05-15
1150513,113,2010,春源,9,1.00%,1,0,0.00%,2026-05-15
1150513,113,2012,春雨,7,1.59%,0,0,0,2026-05-15
1150513,113,2013,中鋼構,3,3.27%,0,0,0,2026-05-15
1150513,113,2014,中鴻,2,0.19%,0,0,0,2026-05-15
1150513,113,2015,豐興,9,0.92%,0,0,0,2026-05-15
1150513,113,2017,官田鋼,10,0.04%,0,0,0,2026-05-15
1150513,113,2020,美亞,8,2.44%,0,0,0,2026-05-15
1150513,113,2022,聚亨,0,0.00%,0,0,0,2026-05-15
1150513,113,2023,燁輝,0,0.00%,0,0,0,2026-05-15
1150513,113,2024,志聯,4,2.89%,0,0,0,2026-05-15
1150513,113,2025,千興,1,1.52%,0,0,0,2026-05-15
1150513,113,2027,大成鋼,52,1.02%,0,0,0,2026-05-15
1150513,113,2028,威致,6,1.57%,0,0,0,2026-05-15
1150513,113,2029,盛餘,0,0.00%,0,0,0,2026-05-15
1150513,113,2030,彰源,7,4.94%,0,0,0,2026-05-15
1150513,113,2031,新光鋼,5,1.73%,0,0,0,2026-05-15
1150513,113,2032,新鋼,1,3.68%,0,0,0,2026-05-15
1150513,113,2033,佳大,1,0.97%,0,0,0,2026-05-15
1150513,113,2034,允強,7,0.88%,0,0,0,2026-05-15
1150513,113,2038,海光,1,0.20%,0,0,0,2026-05-15
1150513,113,2049,上銀,31,0.67%,0,0,0,2026-05-15
1150513,113,2059,川湖,0,0.00%,0,0,0,2026-05-15
1150513,113,2062,橋椿,15,1.50%,0,0,0,2026-05-15
1150513,113,2069,運錩,3,1.70%,0,0,0,2026-05-15
1150513,113,2101,南港,30,1.53%,0,0,0,2026-05-15
1150513,113,2102,泰豐,0,0.00%,0,0,0,2026-05-15
1150513,113,2103,台橡,2,0.12%,0,0,0,2026-05-15
1150513,113,2104,國際中橡,3,0.24%,0,0,0,2026-05-15
1150513,113,2105,正新,77,1.78%,0,0,0.00%,2026-05-15
1150513,113,2106,建大,18,4.57%,0,0,0,2026-05-15
1150513,113,2107,厚生,1,0.52%,0,0,0,2026-05-15
1150513,113,2108,南帝,0,0.00%,0,0,0,2026-05-15
1150513,113,2109,華豐,10,1.99%,0,0,0,2026-05-15
1150513,113,2114,鑫永銓,2,1.90%,0,0,0,2026-05-15
1150513,113,2115,六暉-KY,0,0.00%,0,0,0,2026-05-15
1150513,113,2201,裕隆,1,0.09%,0,0,0,2026-05-15
1150513,113,2204,中華,8,0.70%,1,0,0.00%,2026-05-15
1150513,113,2206,三陽工業,2,0.08%,0,0,0,2026-05-15
1150513,113,2207,和泰車,0,0.00%,0,0,0,2026-05-15
1150513,113,2208,台船,13,0.47%,5,0,0.00%,2026-05-15
1150513,113,2211,長榮鋼,4,4.39%,0,0,0,2026-05-15
1150513,113,2227,裕日車,0,0.00%,0,0,0,2026-05-15
1150513,113,2228,劍麟,1,0.25%,0,0,0,2026-05-15
1150513,113,2231,為升,2,0.52%,0,0,0,2026-05-15
1150513,113,2233,宇隆,2,0.49%,0,0,0,2026-05-15
1150513,113,2236,百達-KY,0,0.00%,0,0,0,2026-05-15
1150513,113,2239,英利-KY,3,0.33%,0,0,0,2026-05-15
