出表日期,報告年度,公司代號,公司名稱,有害廢棄物量-數據(公噸) ,有害廢棄物量-資料範圍,非有害廢棄物量-數據(公噸),非有害廢棄物量-資料範圍,總重量(有害+非有害)-數據(公噸),總重量(有害+非有害)-資料範圍,廢棄物密集度-密集度(公噸/單位) ,廢棄物密集度-單位,取得驗證,date
1150513,113,1503,士電,5.1000,以本公司四大事業群(三廠區)為主，不包含台北總部及各地分公司。,901.6000,以本公司四大事業群(三廠區)為主，不包含台北總部及各地分公司。,906.7000,以本公司四大事業群(三廠區)為主，不包含台北總部及各地分公司。,0.0317,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1504,東元,291.4800,台灣地區、大陸/越南地區、美國地區、義大利地區 ,1041.6700,台灣地區、大陸/越南地區、美國地區、義大利地區 ,1333.1500,台灣地區、大陸/越南地區、美國地區、義大利地區 ,0.0241,公噸/百萬元營業額,ISO 14001,2026-05-15
1150513,113,1506,正道,25.1900,正道工業(股)公司台灣仁德廠區及馬來西亞廠區,858.4000,正道工業(股)公司台灣仁德廠區及馬來西亞廠區,883.5900,正道工業(股)公司台灣仁德廠區及馬來西亞廠區,0.8524,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1512,瑞利,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1513,中興電,0.0018,113年度(不含R類),1295.0920,113年度(不含R類),1295.0938,113年度(不含R類),0.0506,公噸/百萬元營業額,ISO 14001,2026-05-15
1150513,113,1514,亞力,0.0000,本公司以下營運據點：亞力電機股份有限公司新莊廠、亞力電機股份有限公司楊梅廠、亞力電機股份有限公司總公司,552.2348,本公司以下營運據點：亞力電機股份有限公司新莊廠、亞力電機股份有限公司楊梅廠、亞力電機股份有限公司總公司,552.2348,本公司以下營運據點：亞力電機股份有限公司新莊廠、亞力電機股份有限公司楊梅廠、亞力電機股份有限公司總公司,0.0658,公噸/百萬元營業額,"ISO 9001,ISO 14001",2026-05-15
1150513,113,1515,力山,0.0000,母公司+子公司力山科技,34.7360,母公司+子公司力山科技,34.7360,母公司+子公司力山科技,0.0057,公噸/百萬元營業額,ISO 14001,2026-05-15
1150513,113,1516,川飛,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1517,利奇,0.0000,母公司,20.8487,母公司,20.8487,母公司,0.0161,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1519,華城,0.0000,包含合併財務報表之母子公司,261.4590,包含合併財務報表之母子公司,261.4590,包含合併財務報表之母子公司,N/A,N/A,ISO 14001,2026-05-15
1150513,113,1521,大億,21.8800,總公司：台南市南區新信路11號 安工廠：台南市南區新樂路39號1-3樓,624.1400,總公司：台南市南區新信路11號 安工廠：台南市南區新樂路39號1-3樓,646.0200,總公司：台南市南區新信路11號 安工廠：台南市南區新樂路39號1-3樓,0.1747,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1522,堤維西,0.0000,堤維西安平廠及科工1~3廠,739.3000,堤維西安平廠及科工1~3廠,739.3000,堤維西安平廠及科工1~3廠,N/A,N/A,ISO 14001,2026-05-15
1150513,113,1524,耿鼎,0.0000,母公司,241.8200,母公司,241.8200,母公司,0.0152,公噸/產品,N/A,2026-05-15
1150513,113,1525,江申,0.0000,母公司,163.7900,母公司,163.7900,母公司,0.1123,公噸/百萬元營業額,ISO 14001,2026-05-15
1150513,113,1526,日馳,0.5700,日馳企業股份有限公司,50.7350,日馳企業股份有限公司,51.3050,日馳企業股份有限公司,0.1046,公噸/百萬元營業額,ISO 14001,2026-05-15
1150513,113,1527,鑽全,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1528,恩德,0.0000,後龍廠、梧棲廠,53.1400,後龍廠、梧棲廠,53.1400,後龍廠、梧棲廠,0.0506,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1529,樂事綠能,0.0000,楊梅工廠、台南工廠,20.5300,楊梅工廠、台南工廠,20.5300,楊梅工廠、台南工廠,0.0295,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1530,亞崴,5.1900,已完成母公司,109.9600,已完成母公司,115.1500,已完成母公司,0.0891,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1531,高林股,46.2250,桃園廠與高銀廠,302.7850,桃園廠與高銀廠,349.0100,桃園廠與高銀廠,N/A,N/A,N/A,2026-05-15
1150513,113,1532,勤美,317.0000,勤美金屬成型事業處、蘇州勤美達精密機械有限公司(CMS)、勤威(天津)工業有限公司(CMW)、蘇州勤堡精密機械有限公司(CMB)及勤美達（武漢）精密機械有限公司(CMH),85909.0000,勤美金屬成型事業處、蘇州勤美達精密機械有限公司(CMS)、勤威(天津)工業有限公司(CMW)、蘇州勤堡精密機械有限公司(CMB)及勤美達（武漢）精密機械有限公司(CMH),86226.0000,勤美金屬成型事業處、蘇州勤美達精密機械有限公司(CMS)、勤威(天津)工業有限公司(CMW)、蘇州勤堡精密機械有限公司(CMB)及勤美達（武漢）精密機械有限公司(CMH),10.3100,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1533,車王電,0.9000,台灣母公司,80.8600,台灣母公司,81.7600,台灣母公司,0.2171,公噸/百萬元營業額,ISO 14001,2026-05-15
1150513,113,1535,中宇,0.0000,包含合併財務報表之母子公司,11.7300,包含合併財務報表之母子公司,11.7300,包含合併財務報表之母子公司,0.0108,公噸/千萬元營業額,ISO14064-1,2026-05-15
1150513,113,1536,和大,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ISO 14001,2026-05-15
1150513,113,1537,廣隆,2401.7700,包含合併財務報表之母子公司,1262.2600,包含合併財務報表之母子公司,3664.0300,包含合併財務報表之母子公司,N/A,N/A,N/A,2026-05-15
1150513,113,1538,正峰,0.0000,申報清運,6.7000,申報清運,6.7000,申報清運,N/A,N/A,N/A,2026-05-15
