出表日期,報告年度,公司代號,公司名稱,消耗燃料總量(十億焦耳(GJ)),煤炭百分比,天然氣百分比,再生燃料百分比,date
1150513,113,2228,劍麟,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2231,為升,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2233,宇隆,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2236,百達-KY,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2241,艾姆勒,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2243,宏旭-KY,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2247,汎德永業,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2254,巨鎧精密-創,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2258,鴻華先進-創,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2301,光寶科,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2302,麗正,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2303,聯電,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2305,全友,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2308,台達電,242398.8000,0.00%,85.30%,0.00%,2026-05-15
1150513,113,2312,金寶,22864.9200,0.00%,0.24%,0.00%,2026-05-15
1150513,113,2313,華通,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2314,台揚,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2316,楠梓電,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2317,鴻海,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2321,東訊,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2324,仁寶,1042573.4000,0.00%,0.31%,0.00%,2026-05-15
1150513,113,2327,國巨,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2328,廣宇,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2329,華泰,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2331,精英,18882.0000,0.00%,100.00%,0.00%,2026-05-15
1150513,113,2332,友訊,8048.1000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2340,台亞,23566.1405,0.00%,99.13%,0.00%,2026-05-15
1150513,113,2342,茂矽,59.7475,N/A,N/A,N/A,2026-05-15
1150513,113,2344,華邦電,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2345,智邦,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2347,聯強,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2348,海悅,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2349,錸德,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2351,順德,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2352,佳世達,21727.8130,0.00%,54.30%,0.00%,2026-05-15
1150513,113,2353,宏碁,33896.1500,0.00%,33.50%,0.00%,2026-05-15
1150513,113,2354,鴻準,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2355,敬鵬,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2360,致茂,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2362,藍天,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2363,矽統,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2364,倫飛,290.7275,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2365,昆盈,495.9074,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2367,燿華,822307.1377,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2368,金像電,145409.0050,0.00%,60.77%,0.00%,2026-05-15
1150513,113,2369,菱生,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2371,大同,29421.3025,0.00%,0.12%,1.79%,2026-05-15
1150513,113,2373,震旦行,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2374,佳能,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2375,凱美,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2376,技嘉,173368.7900,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2377,微星,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2379,瑞昱,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2380,虹光,88.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2382,廣達,161910.2130,0.00%,92.33%,0.00%,2026-05-15
1150513,113,2383,台光電,1849494.6800,0.00%,55.97%,0.00%,2026-05-15
1150513,113,2385,群光,1015.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2387,精元,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2388,威盛,0.4600,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2390,云辰,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2392,正崴,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2393,億光,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2395,研華,0.5925,0.00%,91.57%,0.00%,2026-05-15
1150513,113,2397,友通,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2399,映泰,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2401,凌陽,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2405,輔信,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2406,國碩,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2408,南亞科,212124.0000,0.00%,100.00%,0.00%,2026-05-15
1150513,113,2409,友達,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2412,中華電,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2413,環科,0.2062,N/A,N/A,0.00%,2026-05-15
1150513,113,2414,精技,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2415,錩新,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2417,圓剛,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2419,仲琦,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2420,新巨,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2423,固緯,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2424,隴華,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2426,鼎元,6070.1500,0.00%,100.00%,0.00%,2026-05-15
1150513,113,2428,興勤,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2429,銘旺科,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2431,聯昌,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2432,倚天酷碁-創,3.7100,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2433,互盛電,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2436,偉詮電,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2438,翔耀,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2439,美律,1615.6400,0.00%,25.13%,0.00%,2026-05-15
1150513,113,2440,太空梭,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2441,超豐,3378.2380,0.00%,100.00%,0.00%,2026-05-15
1150513,113,2444,兆勁,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2450,神腦,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2451,創見,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2453,凌群,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2454,聯發科,7422.0000,0.00%,3.44%,0.00%,2026-05-15
