出表日期,報告年度,公司代號,公司名稱,前10大股東持股情形,date
1150513,113,1721,三晃,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1721_20250611F17.pdf,2026-05-15
1150513,113,1722,台肥,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1722_20250610F17.pdf,2026-05-15
1150513,113,1723,中碳,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1723_20250617F17.pdf,2026-05-15
1150513,113,1725,元禎,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1725_20250611F17.pdf,2026-05-15
1150513,113,1726,永記,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1726_20250529F17.pdf,2026-05-15
1150513,113,1727,中華化,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1727_20250523F17.pdf,2026-05-15
1150513,113,1730,花仙子,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1730_20250529F17.pdf,2026-05-15
1150513,113,1731,美吾華,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1731_20250605F17.pdf,2026-05-15
1150513,113,1732,毛寶,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1732_20250612F17.pdf,2026-05-15
1150513,113,1733,五鼎,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1733_20250523F17.pdf,2026-05-15
1150513,113,1734,杏輝,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1734_20250619F17.pdf,2026-05-15
1150513,113,1735,日勝化,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1735_20250529F17.pdf,2026-05-15
1150513,113,1736,喬山,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1736_20250626F17.pdf,2026-05-15
1150513,113,1737,臺鹽,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1737_20250626F17.pdf,2026-05-15
1150513,113,1752,南光,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1752_20250521F17.pdf,2026-05-15
1150513,113,1760,寶齡富錦,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1760_20250523F17.pdf,2026-05-15
1150513,113,1762,中化生,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1762_20250529F17.pdf,2026-05-15
1150513,113,1773,勝一,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1773_20250521F17.pdf,2026-05-15
1150513,113,1776,展宇,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1776_20250527F17.pdf,2026-05-15
1150513,113,1783,和康生,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1783_20250611F17.pdf,2026-05-15
1150513,113,1786,科妍,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1786_20250627F17.pdf,2026-05-15
1150513,113,1789,神隆,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1789_20250528F17.pdf,2026-05-15
1150513,113,1795,美時,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1795_20250626F17.pdf,2026-05-15
1150513,113,1802,台玻,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1802_20250611F17.pdf,2026-05-15
1150513,113,1805,寶徠,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1805_20250627F17.pdf,2026-05-15
1150513,113,1806,冠軍,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1806_20250616F17.pdf,2026-05-15
1150513,113,1808,潤隆,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1808_20250617F17.pdf,2026-05-15
1150513,113,1809,中釉,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1809_20250619F17.pdf,2026-05-15
