出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘(元),普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利,date
1150515,115,1,1517,利奇機械工業股份有限公司,電機機械,-0.19,新台幣                 10.0000元,438193.00,-85854.00,35238.00,-36778.00,2026-05-15
1150515,115,1,1519,華城電機股份有限公司,電機機械,3.29,新台幣                 10.0000元,4756515.00,1008294.00,326287.00,1015824.00,2026-05-15
1150515,115,1,1521,大億交通工業製造股份有限公司,汽車工業,0.44,新台幣                 10.0000元,1003761.00,32036.00,9789.00,33328.00,2026-05-15
1150515,115,1,1522,堤維西交通工業股份有限公司,汽車工業,-0.19,新台幣                 10.0000元,6675148.00,-81012.00,39199.00,-24408.00,2026-05-15
1150515,115,1,1524,耿鼎企業股份有限公司,汽車工業,0.53,新台幣                 10.0000元,562184.00,93486.00,15639.00,86973.00,2026-05-15
1150515,115,1,1525,江申工業股份有限公司,汽車工業,-0.82,新台幣                 10.0000元,281735.00,2924.00,43285.00,-59860.00,2026-05-15
1150515,115,1,1526,日馳企業股份有限公司,電機機械,-0.44,新台幣                 10.0000元,161967.00,-31597.00,-591.00,-26532.00,2026-05-15
1150515,115,1,1527,鑽全實業股份有限公司,電機機械,0.32,新台幣                 10.0000元,629386.00,24243.00,31523.00,44613.00,2026-05-15
1150515,115,1,1528,恩德科技股份有限公司,電機機械,-0.15,新台幣                 10.0000元,712104.00,-36032.00,19328.00,-29326.00,2026-05-15
1150515,115,1,1531,高林股份有限公司,電機機械,0.03,新台幣                 10.0000元,347486.00,-22632.00,28080.00,5391.00,2026-05-15
1150515,115,1,1532,勤美股份有限公司,電機機械,-0.09,新台幣                 10.0000元,3204035.00,47497.00,-66955.00,-23412.00,2026-05-15
1150515,115,1,1533,車王電子股份有限公司,汽車工業,0.84,新台幣                 10.0000元,1288273.00,91711.00,25240.00,136240.00,2026-05-15
1150515,115,1,1535,中宇環保工程股份有限公司,電機機械,0.77,新台幣                 10.0000元,2203311.00,114131.00,9200.00,95213.00,2026-05-15
1150515,115,1,1536,和大工業股份有限公司,汽車工業,-0.52,新台幣                 10.0000元,1193410.00,-161269.00,-8442.00,-148320.00,2026-05-15
1150515,115,1,1537,廣隆光電科技股份有限公司,電機機械,2.11,新台幣                 10.0000元,1713997.00,194789.00,39002.00,172828.00,2026-05-15
1150515,115,1,1538,正峰工業股份有限公司,電機機械,-1.11,新台幣                 10.0000元,10367.00,-16498.00,-19218.00,-35716.00,2026-05-15
1150515,115,1,1539,巨庭機械股份有限公司,電機機械,0.08,新台幣                 10.0000元,241975.00,-1673.00,8366.00,5354.00,2026-05-15
1150515,115,1,1540,喬福機械工業股份有限公司,電機機械,0.32,新台幣                 10.0000元,86231.00,6859.00,27252.00,27084.00,2026-05-15
1150515,115,1,1541,錩泰工業股份有限公司,電機機械,0.48,新台幣                 10.0000元,598810.00,14876.00,22598.00,37894.00,2026-05-15
1150515,115,1,1558,伸興工業股份有限公司,電機機械,1.23,新台幣                 10.0000元,1926175.00,115500.00,75449.00,153553.00,2026-05-15
1150515,115,1,1560,中國砂輪企業股份有限公司,電機機械,2.94,新台幣                 10.0000元,2293229.00,444439.00,87512.00,442152.00,2026-05-15
1150515,115,1,1563,巧新科技工業股份有限公司,汽車工業,0.60,新台幣                 10.0000元,1871936.00,163156.00,322.00,130742.00,2026-05-15
1150515,115,1,1568,倉佑實業股份有限公司,汽車工業,0.51,新台幣                 10.0000元,250310.00,49416.00,14671.00,52905.00,2026-05-15
1150515,115,1,1582,信錦企業股份有限公司,電子零組件業,0.35,新台幣                 10.0000元,2115340.00,111562.00,-23507.00,55249.00,2026-05-15
1150515,115,1,1587,吉茂精密股份有限公司,汽車工業,0.04,新台幣                 10.0000元,754074.00,22290.00,-19907.00,3153.00,2026-05-15
1150515,115,1,1590,亞德客國際集團,電機機械,13.35,新台幣                 10.0000元,10013502.00,3324875.00,99232.00,2670926.00,2026-05-15
