出表日期,報告年度,公司代號,公司名稱,董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,date
1150513,113,2375,凱美,7,3,0,0.00%,82.86%,100.00%,2026-05-15
1150513,113,2376,技嘉,11,5,3,27.00%,97.27%,100.00%,2026-05-15
1150513,113,2377,微星,11,3,1,9.00%,94.32%,100.00%,2026-05-15
1150513,113,2379,瑞昱,9,3,1,11.11%,96.43%,44.44%,2026-05-15
1150513,113,2380,虹光,7,4,1,14.29%,92.68%,100.00%,2026-05-15
1150513,113,2382,廣達,7,3,1,14.29%,95.00%,100.00%,2026-05-15
1150513,113,2383,台光電,8,4,1,12.50%,93.33%,100.00%,2026-05-15
1150513,113,2385,群光,8,3,1,12.50%,100.00%,100.00%,2026-05-15
1150513,113,2387,精元,9,3,4,44.00%,100.00%,11.11%,2026-05-15
1150513,113,2388,威盛,8,4,1,12.50%,97.92%,100.00%,2026-05-15
1150513,113,2390,云辰,7,3,2,28.57%,94.29%,85.71%,2026-05-15
1150513,113,2392,正崴,9,4,0,0.00%,95.24%,100.00%,2026-05-15
1150513,113,2393,億光,8,4,0,0.00%,100.00%,100.00%,2026-05-15
1150513,113,2395,研華,9,3,1,11.11%,100.00%,100.00%,2026-05-15
1150513,113,2397,友通,7,3,1,14.29%,100.00%,100.00%,2026-05-15
1150513,113,2399,映泰,7,3,1,14.29%,100.00%,100.00%,2026-05-15
1150513,113,2401,凌陽,7,4,1,14.29%,97.14%,100.00%,2026-05-15
1150513,113,2402,毅嘉,7,3,1,14.29%,94.29%,100.00%,2026-05-15
1150513,113,2404,漢唐,9,3,3,33.33%,100.00%,100.00%,2026-05-15
1150513,113,2405,輔信,8,4,5,62.50%,100.00%,100.00%,2026-05-15
