出表日期,報告年度,公司代號,公司名稱,售出產品重量(公噸(t)),生產設施場所數量(座),依產品類別之產品產量,date
1150513,113,2338,光罩,21.322,3,"2024年產品產量為21,322公斤",2026-05-15
1150513,113,2340,台亞,41.630,2,"發光元件: 6,830佰萬個
感測元件(含功率元件): 18,872佰萬個",2026-05-15
1150513,113,2342,茂矽,N/A,N/A,N/A,2026-05-15
1150513,113,2344,華邦電,1048.289,2,晶圓總產量為 710(仟片),2026-05-15
1150513,113,2345,智邦,N/A,N/A,"網路交換器：2,439,352 Pcs
網路應用設備：5,252,336 Pcs
網路接取設備：246,838 Pcs
無線網路設備：387,295 Pcs
其他：117,519 Pcs
合計：8,443,340Pcs",2026-05-15
1150513,113,2347,聯強,N/A,N/A,本公司屬於通路服務業，非商品製造，故無此項資料揭露。,2026-05-15
1150513,113,2348,海悅,N/A,N/A,N/A,2026-05-15
1150513,113,2349,錸德,N/A,N/A,光學產品:84.42%，其他:15.58%,2026-05-15
1150513,113,2351,順德,N/A,N/A,N/A,2026-05-15
1150513,113,2352,佳世達,N/A,N/A,"液晶顯示器出貨量約1,627萬台",2026-05-15
1150513,113,2353,宏碁,N/A,N/A,宏碁的營運模式主要為產品銷售與客戶服務。一般而言，我們於每季法說會對外揭露各產品的營收占比。宏碁公司財務報告與簡報可見,2026-05-15
1150513,113,2354,鴻準,N/A,N/A,N/A,2026-05-15
1150513,113,2355,敬鵬,N/A,N/A,3710898 M2,2026-05-15
1150513,113,2356,英業達,N/A,N/A,"電腦相關產品總產量為82,242千台(數據包含三角貿易產量)	
",2026-05-15
1150513,113,2357,華碩,N/A,N/A,"華碩以電腦及周邊設備之銷售與客戶服務為主要經濟活動，故以產品銷售量做為主要資訊揭露標的，於年報與法說會公開資訊揭露各產品的銷售量與營收占比：https://www.asus.com/tw/pages/investor/

產品類別分為：
• 系統事業群：PC和智慧型手機
• 開放平台事業群：主機板、顯示卡、伺服器等元件產品
• AIOT事業群：Mini PC、工業電腦（IPC）& AI解決方案",2026-05-15
1150513,113,2360,致茂,N/A,N/A,"主要產品包含量測儀器、自動化運輸工程設備，2024年產品線與營業比重如下:
量測儀器設備，營業額 20,418,424仟元，營業比重94.51%；自動化運輸工程設備，營業額872,293仟元，營業比重4.04%；其他，營業額313,120仟元，營業比重1.45%。
本公司及子公司採「少量多樣」之生產方式，非屬自動化生產線之大量生產，生產數量之計算無法以單一單位呈現。故僅以營業額說明。",2026-05-15
1150513,113,2362,藍天,N/A,N/A,"1,896千台",2026-05-15
1150513,113,2363,矽統,N/A,N/A,N/A,2026-05-15
1150513,113,2364,倫飛,N/A,1,"可攜式電腦含成品板52,033台",2026-05-15
1150513,113,2365,昆盈,N/A,N/A,"主要商品/產量(仟台)
電腦週邊產品/ 3,852
影像光電產品/ 51
消費性電子產品/ 29
合計 3,932",2026-05-15
1150513,113,2367,燿華,N/A,N/A,"印刷電路板4,656,735平方英呎",2026-05-15
1150513,113,2368,金像電,N/A,N/A,公司產品類型有通訊及電腦相關產品，近年經營策略上逐步朝向高階產品，如AI及雲端使用的伺服器、網通用板等。 詳細資料請見永續報告書。,2026-05-15
1150513,113,2369,菱生,N/A,6,"菱生封測服務4,706,439仟只",2026-05-15
1150513,113,2371,大同,42553.633,50,"1.共1,952,118台(支)(電纜廠除外)
2.電纜廠共53,187,277公尺",2026-05-15
1150513,113,2373,震旦行,N/A,N/A,"櫃類產量 205,489、屏風類產量 658,579、主管桌產量 87,552",2026-05-15
1150513,113,2374,佳能,585.090,4,"光電產品: 31,171 仟台，光學零件: 38,013仟台
註: 係佳能企業及子公司合併資料",2026-05-15
1150513,113,2375,凱美,N/A,N/A,N/A,2026-05-15
1150513,113,2376,技嘉,N/A,N/A,"詳請請見技嘉科技113年年報P.66
網址：https://www.gigabyte.com/tw/Investor",2026-05-15
1150513,113,2377,微星,N/A,4,"27,709千片",2026-05-15
1150513,113,2379,瑞昱,997.055,5,"2,272,955,019 ea",2026-05-15
1150513,113,2380,虹光,N/A,N/A,"主要產品2024年產量共300,781台，分別為：
影像掃描器為40,314台
數位化辦公設備為111,098台
多功能事務機相關產品為149,327台 
其他為42台",2026-05-15
1150513,113,2382,廣達,N/A,N/A,廣達核心業務仍以資訊與通訊相關之3C電子產品製造為主電子產品，佔比高達99.64%,2026-05-15
1150513,113,2383,台光電,N/A,10,"銅箔基板    68,004 SHT
黏合片	   267,096 MTR
多層壓合板   1,213 S.F.",2026-05-15
1150513,113,2385,群光,N/A,6,"母公司群光電子：電腦週邊設備、數位影像、消費性電子產品及其他電子產品銷售量約為181.8佰萬台
子公司群光電能：電腦週邊設備、遊戲機產品及其他電子產品銷售量約為132.3佰萬台
子公司展達通訊：網通及其他電子產品銷售量約為3.5佰萬台。",2026-05-15
1150513,113,2387,精元,N/A,N/A,N/A,2026-05-15
1150513,113,2388,威盛,N/A,1,"IC、智能產品及其他101,614仟顆",2026-05-15
1150513,113,2390,云辰,N/A,N/A,N/A,2026-05-15
1150513,113,2392,正崴,N/A,N/A,"3C電子產品：34,926,777個",2026-05-15
1150513,113,2393,億光,N/A,N/A,"1.LED:24,889,491(仟個)
2.LCD:10,008(仟個)
3.照明:8(仟個)
4.其他:13(仟個",2026-05-15
1150513,113,2395,研華,N/A,3,"嵌入式板卡及系統：3,256,697(台/片)
產業電腦及工業控制：3,170,338(台/片)
售後服務及其它：492,624(台/片)
總計：6,919,659(台/片)",2026-05-15
1150513,113,2397,友通,N/A,N/A,N/A,2026-05-15
1150513,113,2399,映泰,N/A,N/A,N/A,2026-05-15
1150513,113,2401,凌陽,N/A,N/A,本公司產品的主要原料是晶圓，主要委託知名半導體大廠加工製造，再自行或委外測試、包裝及出貨，無產能限制。產量涉及營運機密，暫不提供。,2026-05-15
1150513,113,2402,毅嘉,N/A,N/A,機構整合元件：8303（仟套）,2026-05-15
1150513,113,2405,輔信,N/A,N/A,"迷你準系統：79,594 PCS
電腦其他周邊：175,386 PCS
氣墊床及醫療周邊設備：158,658 PCS",2026-05-15
1150513,113,2406,國碩,287.160,2,太陽能金屬焊帶：273.75噸；矽晶片：13.41噸,2026-05-15
1150513,113,2408,南亞科,N/A,N/A,"標準型產品962,014千顆、低功率產品92,466千顆",2026-05-15
1150513,113,2409,友達,N/A,N/A,"2024 年度面板產品出貨量共 156,342 千片，10”含以上 103,204千片，10”以下 53,138 千片。",2026-05-15
