Code,Company,ApplicationDate,Chairman,AmountofCapital ,CommitteeDate,ApprovedDate,AgreementDate,ListingDate,ApprovedListingDate,Underwriter,UnderwritingPrice,Note,date
4961,天鈺,1070704,林永杰,1414968,1070810,1070828,1070829,,1071017,福邦,33.00,,2026-05-15
3712,永崴,,郭台強,2462421,,,,,1071001,,,勁永(6145)於當日下市，轉投控上市,2026-05-15
6641,基士德-KY,1070411,謝宏炅,300000,1070601,1070619,1070626,,1070921,永豐金,75.00,,2026-05-15
8367,建新國際,1070416,陳銀海,734499,1070531,1070619,1070621,,1070912,凱基,20.08,,2026-05-15
8482,商億-KY,1070330,謝智通,1000000,1070523,1070619,1070626,,1070815,凱基,115.00,,2026-05-15
4540,全球傳動,1070426,李清崑,852780,1070530,1070619,1070621,,1070815,第一金證,94.80,,2026-05-15
3530,晶相光,1061228,何新平,679809,1070504,1070515,1070517,,1070716,永豐金,101.00,,2026-05-15
8028,昇陽半,1061228,楊敏聰,1168280,1070222,1070424,1070426,,1070710,福邦,24.60,,2026-05-15
4989,榮科,1061227,王守仁,1400000,1070213,1070327,1070329,,1070628,元大,24.80,,2026-05-15
6288,聯嘉光電,1060904,黃昉鈺,1521130,1061228,1070116,1070118,,1070509,台新,18.00,,2026-05-15
3711,日月光投控,,張虔生,43183919,,,,,1070430,,,日月光(2311)、矽品(2325)於當日下市，轉投控上市,2026-05-15
6416,瑞祺電通,1061130,朱復銓,600306,1070123,1070227,1070302,,1070416,國泰證,101.00,,2026-05-15
1587,吉茂,1060926,劉彥狄,600419,1061120,1061219,1061220,,1070416,宏遠,18.91,,2026-05-15
8497,聯廣,1060731,余湘,300428,1060918,1061121,1061123,,1070323,國泰證,46.00,文創事業,2026-05-15
2630,亞洲航空,1060927,盧天麟,1078296,1061121,1061219,1061220,,1070222,台新,22.00,,2026-05-15
6625,必應,1060930,周佑洋,308005,1061122,1061219,1061220,,1070207,台新,65.00,文創事業,2026-05-15
4566,時碩工業,1061005,黃亞興,600000,1061130,1061219,1061220,,1070205,凱基,60.00,,2026-05-15
6581,鋼聯,1060728,林明儒,999449,1061020,1061121,1061123,,1070130,康和,86.00,,2026-05-15
1760,寶齡富錦,1060823,張立秋,681390,1061109,1061121,1061123,,1070123,凱基,52.00,,2026-05-15
2939,凱羿-KY,1060823,蔡謀燦,459977,1061016,1061024,1061027,,1070111,永豐金,156.00,,2026-05-15
4764,雙鍵,1060727,王棟海,615144,1060920,1061024,1061026,,1070104,永豐金,48.00,,2026-05-15
6591,動力-KY,1060828,許文昉,210680,1061012,1061024,1061027,,1061228,康和,60.00,,2026-05-15
8478,東哥遊艇,1060726,闕慶承,840173,1060919,1061024,1061025,,1061211,凱基,72.80,,2026-05-15
4155,訊映,1060329,賴家德,655962,1060522,1060718,1060721,,1061205,富邦,22.00,,2026-05-15
8499,鼎炫-KY,1060622,傅青炫,460000,1060816,1060822,1060831,,1061124,凱基,96.00,,2026-05-15
6541,泰福-KY,1051130,陳志全,1928875,1060426,1060516,1060519,,1061026,元富,72.00,科技事業,2026-05-15
6024,群益期,1060720,孫天山,1603978,,1060919,1060920,,1061016,統一,,櫃轉市,2026-05-15
