出表日期,報告年度,公司代號,公司名稱,為改善食品衛生、安全與品質，而針對其從業人員、作業場所、設施衛生管理及其品保制度等方面進行之評估與改進及所影響之百分比,違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之事件類別與次數,違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之產品下架次數(次),違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之下架產品總重量(公噸(t)),經獨立第三方驗證符合國際認證之食品安全管理系統標準之廠房所生產產品之百分比,依法規要求或自願進行產品追溯與追蹤管理之相關產品占所有產品之百分比,依法規要求或自願設置食品安全實驗室之相關支出(仟元),依法規要求或自願設置食品安全實驗室之相關支出占營業收入淨額之百分比,date
1150513,113,2347,聯強,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2348,海悅,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2349,錸德,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2351,順德,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2352,佳世達,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2353,宏碁,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2354,鴻準,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2355,敬鵬,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2360,致茂,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2362,藍天,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2363,矽統,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2364,倫飛,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2365,昆盈,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2367,燿華,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2369,菱生,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2371,大同,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2373,震旦行,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2374,佳能,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2375,凱美,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
