出表日期,報告年度,公司代號,公司名稱,範疇一排放量(噸CO2e),範疇一資料邊界,範疇一取得驗證,範疇二排放量(噸CO2e),範疇二資料邊界,範疇二取得驗證,範疇三排放量(噸CO2e),範疇三資料邊界,範疇三取得驗證,溫室氣體排放密集度(噸CO2e/單位),date
1150513,113,1536,和大,2505.7804,已完成母公司,是,34529.8382,已完成母公司,是,1156.1330,已完成母公司,是,7.7900,2026-05-15
1150513,113,1537,廣隆,8039.4108,已完成合併財務報表之母子公司,否,74224.6630,已完成合併財務報表之母子公司,否,N/A,N/A,否,10.1088,2026-05-15
1150513,113,1538,正峰,240.7000,已完成母公司,否,35.9000,已完成母公司,否,N/A,N/A,否,2.5200,2026-05-15
1150513,113,1539,巨庭,138.5726,已完成母公司,否,686.1243,已完成母公司,否,40.6577,已完成母公司,否,0.6159,2026-05-15
1150513,113,1540,喬福,49.9241,已完成母公司,否,262.1993,已完成母公司,否,15.6830,已完成母公司,否,0.2035,2026-05-15
1150513,113,1541,錩泰,1677.4000,已完成合併財務報表之母子公司,否,3465.6900,已完成合併財務報表之母子公司,否,5426773.0000,已完成母公司,否,1.7200,2026-05-15
1150513,113,1558,伸興,3411.0000,合併財務報表之母子公司(不含宇隆),是,11943.0000,合併財務報表之母子公司(不含宇隆),是,54540.0000,合併財務報表之母子公司(不含宇隆),是,1.8416,2026-05-15
1150513,113,1560,中砂,7679.1415,已完成合併財務報表之母子公司,是,31857.9412,已完成合併財務報表之母子公司,是,81264.8208,已完成合併財務報表之母子公司,是,5.6000,2026-05-15
1150513,113,1563,巧新,21299.9178,已完成母公司,是,53781.5701,已完成母公司,是,10665.7891,已完成母公司,是,10.0463,2026-05-15
1150513,113,1568,倉佑,194.2539,已完成母公司,否,3217.3997,已完成母公司,否,1536.4127,已完成母公司,否,4.6860,2026-05-15
1150513,113,1582,信錦,57.0679,已完成母公司,是,218.0780,已完成母公司,是,6509.1100,已完成合併財務報表之母子公司,否,0.0293,2026-05-15
1150513,113,1583,程泰,373.3229,已完成母公司,否,1871.0885,已完成母公司,否,42.3943,已完成母公司,否,N/A,2026-05-15
1150513,113,1587,吉茂,133.6112,吉茂三廠,否,2252.4850,吉茂三廠,否,N/A,N/A,否,1.4918,2026-05-15
1150513,113,1589,永冠-KY,7682.5800,"已完成母公司,已完成合併財務報表之母子公司",是,109643.2200,已完成合併財務報表之母子公司,是,249171.8100,已完成合併財務報表之母子公司,是,16.2902,2026-05-15
1150513,113,1590,亞德客-KY,18192.1708,考量揭露訊息之重大性以及實際管理需求，涵蓋主要銷售據點、主要生產基地和營運總部，合計揭露比重佔 2024 年合併營業收入達96%，亦達2024年度生產產值100%。,是,97728.6730,考量揭露訊息之重大性以及實際管理需求，涵蓋主要銷售據點、主要生產基地和營運總部，合計揭露比重佔 2024 年合併營業收入達96%，亦達2024年度生產產值100%。,是,N/A,N/A,否,3.7808,2026-05-15
1150513,113,1597,直得,41.6797,已完成母公司,是,3987.0036,已完成母公司,是,1239.7412,已完成母公司,是,4.9660,2026-05-15
1150513,113,1598,岱宇,1590.9909,已完成合併財務報表之母子公司,是,3112.6458,已完成合併財務報表之母子公司,是,9385.9460,已完成母公司,是,0.6517,2026-05-15
1150513,113,1603,華電,1290.2861,已完成母公司,是,4931.8245,已完成母公司,是,16374.8015,已完成母公司,是,1.3711,2026-05-15
1150513,113,1604,聲寶,1386.8729,已完成母公司,是,4201.8166,已完成母公司,是,1198.3232,已完成母公司,否,0.7149,2026-05-15
