出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,date
1150515,115,1,1463,強盛新,62815.00,52098.00,,,10717.00,,,10717.00,16465.00,,-5748.00,8843.00,3095.00,5583.00,-2488.00,,,-2488.00,7731.00,,5243.00,-1586.00,,-902.00,6145.00,,-902.00,-0.01,2026-05-15
1150515,115,1,1464,得力,2987876.00,2363881.00,,,623995.00,,,623995.00,518596.00,-324.00,105075.00,60045.00,165120.00,41031.00,124089.00,,,124089.00,114203.00,,238292.00,128552.00,,-4463.00,232519.00,,5773.00,0.30,2026-05-15
1150515,115,1,1465,偉全,98482.00,96159.00,,,2323.00,,,2323.00,15867.00,,-13544.00,22661.00,9117.00,-18971.00,28088.00,,,28088.00,,,28088.00,,,,,,,0.27,2026-05-15
1150515,115,1,1466,聚隆,547834.00,478561.00,,,69273.00,,,69273.00,60836.00,,8437.00,10580.00,19017.00,-2240.00,21257.00,,,21257.00,3050.00,,24307.00,18530.00,,2727.00,21580.00,,2727.00,0.17,2026-05-15
1150515,115,1,1467,南緯,1182469.00,948815.00,,,233654.00,,,233654.00,227200.00,,6454.00,36730.00,43184.00,15488.00,27696.00,,,27696.00,-4313.00,,23383.00,25429.00,,2267.00,22004.00,,1379.00,0.11,2026-05-15
1150515,115,1,1468,昶和,127625.00,94564.00,,,33061.00,,,33061.00,26203.00,,6858.00,30718.00,37576.00,10255.00,27321.00,,,27321.00,17289.00,,44610.00,27394.00,,-73.00,42379.00,,2231.00,0.17,2026-05-15
1150515,115,1,1470,大統新創,191305.00,139675.00,,,51630.00,,,51630.00,28145.00,-9.00,23476.00,9718.00,33194.00,6523.00,26671.00,,,26671.00,304.00,,26975.00,26671.00,,,26975.00,,,0.31,2026-05-15
1150515,115,1,1471,首利,22014.00,26471.00,,,-4457.00,,,-4457.00,27342.00,,-31799.00,27990.00,-3809.00,0.00,-3809.00,,,-3809.00,1157.00,,-2652.00,-3799.00,,-10.00,-4915.00,,2263.00,-0.03,2026-05-15
1150515,115,1,1472,三洋實業,914324.00,780219.00,,,134105.00,,,134105.00,27713.00,,106392.00,3489.00,109881.00,16387.00,93494.00,,,93494.00,-19858.00,,73636.00,93494.00,,0.00,73636.00,,0.00,1.78,2026-05-15
1150515,115,1,1473,台南,1959149.00,1599084.00,,,360065.00,,,360065.00,256842.00,,103223.00,19442.00,122665.00,22323.00,100342.00,,,100342.00,49901.00,,150243.00,100342.00,,,150243.00,,,0.69,2026-05-15
1150515,115,1,1474,弘裕,691030.00,615674.00,,,75356.00,,,75356.00,80598.00,,-5242.00,15230.00,9988.00,-13.00,10001.00,,,10001.00,39778.00,,49779.00,11478.00,,-1477.00,50870.00,,-1091.00,0.09,2026-05-15
1150515,115,1,1475,業旺,347966.00,285729.00,,,62237.00,,,62237.00,19817.00,,42420.00,30038.00,72458.00,14573.00,57885.00,,,57885.00,3674.00,,61559.00,57885.00,,,61559.00,,,0.88,2026-05-15
1150515,115,1,1476,儒鴻,9621070.00,6526334.00,,,3094736.00,,,3094736.00,899823.00,,2194913.00,95776.00,2290689.00,456173.00,1834516.00,,,1834516.00,147516.00,,1982032.00,1834516.00,,,1982032.00,,,6.69,2026-05-15
1150515,115,1,1477,聚陽,8896989.00,6570953.00,,,2326036.00,,,2326036.00,948694.00,,1377342.00,-20459.00,1356883.00,279477.00,1077406.00,,,1077406.00,102550.00,,1179956.00,1073207.00,,4199.00,1175335.00,,4621.00,4.35,2026-05-15
1150515,115,1,1504,東元,14235194.00,10893613.00,,,3341581.00,9035.00,9855.00,3342401.00,2163871.00,,1178530.00,403360.00,1581890.00,343200.00,1238690.00,,,1238690.00,-4147248.00,,-2908558.00,1188154.00,,50536.00,-2840360.00,,-68198.00,0.51,2026-05-15
1150515,115,1,1506,正道,290125.00,239529.00,,,50596.00,,,50596.00,44424.00,,6172.00,537.00,6709.00,1390.00,5319.00,,,5319.00,5575.00,,10894.00,5179.00,,140.00,8944.00,,1950.00,0.02,2026-05-15
1150515,115,1,1513,中興電,6490639.00,4804662.00,,,1685977.00,,,1685977.00,482588.00,,1203389.00,14822.00,1218211.00,257948.00,960263.00,,,960263.00,-100105.00,,860158.00,956493.00,,3770.00,850137.00,,10021.00,1.94,2026-05-15
1150515,115,1,1514,亞力,2526342.00,2083105.00,,,443237.00,,751.00,443988.00,232861.00,,211127.00,36266.00,247393.00,46932.00,200461.00,,,200461.00,7182.00,,207643.00,198005.00,,2456.00,205291.00,,2352.00,0.73,2026-05-15
1150515,115,1,1515,力山,1050350.00,895526.00,,,154824.00,,,154824.00,159314.00,,-4490.00,19269.00,14779.00,3226.00,11553.00,,,11553.00,19688.00,,31241.00,12904.00,,-1351.00,31131.00,,110.00,0.07,2026-05-15
1150515,115,1,1516,川飛,26221.00,24618.00,,,1603.00,,,1603.00,3918.00,,-2315.00,225.00,-2090.00,-2.00,-2088.00,,,-2088.00,0.00,,-2088.00,,,,,,,-0.05,2026-05-15
1150515,115,1,1517,利奇,438193.00,433236.00,,,4957.00,,,4957.00,90811.00,,-85854.00,35238.00,-50616.00,-13838.00,-36778.00,,,-36778.00,21390.00,,-15388.00,-41849.00,,5071.00,-20300.00,,4912.00,-0.19,2026-05-15
1150515,115,1,1519,華城,4756515.00,2682401.00,,,2074114.00,,,2074114.00,1065820.00,,1008294.00,326287.00,1334581.00,318757.00,1015824.00,,,1015824.00,94448.00,,1110272.00,1038511.00,,-22687.00,1132959.00,,-22687.00,3.29,2026-05-15
1150515,115,1,1521,大億,1003761.00,852704.00,,,151057.00,,,151057.00,119021.00,,32036.00,9789.00,41825.00,8497.00,33328.00,,,33328.00,0.00,,33328.00,33328.00,,,33328.00,,,0.44,2026-05-15
1150515,115,1,1522,堤維西,6675148.00,5641876.00,,,1033272.00,4180.00,3819.00,1032911.00,1113923.00,,-81012.00,39199.00,-41813.00,-17405.00,-24408.00,,,-24408.00,96637.00,,72229.00,-58597.00,,34189.00,34157.00,,38072.00,-0.19,2026-05-15
1150515,115,1,1524,耿鼎,562184.00,391931.00,,,170253.00,,,170253.00,76767.00,0.00,93486.00,15639.00,109125.00,22152.00,86973.00,,,86973.00,12228.00,,99201.00,,,,,,,0.53,2026-05-15
1150515,115,1,1525,江申,281735.00,241080.00,,,40655.00,,,40655.00,37731.00,,2924.00,43285.00,46209.00,106069.00,-59860.00,,,-59860.00,130127.00,,70267.00,-59860.00,,,70267.00,,,-0.82,2026-05-15
1150515,115,1,1526,日馳,161967.00,141594.00,,,20373.00,,,20373.00,51970.00,,-31597.00,-591.00,-32188.00,-5656.00,-26532.00,,,-26532.00,4019.00,,-22513.00,-26532.00,,,-22513.00,,,-0.44,2026-05-15
1150515,115,1,1527,鑽全,629386.00,513501.00,,,115885.00,,,115885.00,91642.00,,24243.00,31523.00,55766.00,11153.00,44613.00,,,44613.00,20346.00,,64959.00,,,,,,,0.32,2026-05-15
