出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數,待註銷股本股數,母公司暨子公司所持有之母公司庫藏股股數,每股參考淨值,date
1150515,115,1,1418,東華,1616741.00,3959653.00,5576394.00,3832241.00,552824.00,4385065.00,568343.00,,8008.00,-855744.00,1551058.00,-80333.00,1191332.00,,,-3.00,1191329.00,,0.00,2522865.00,21.94,2026-05-15
1150515,115,1,1423,利華,1276550.00,2646109.00,3922659.00,23585.00,199531.00,223116.00,996480.00,,106111.00,1148379.00,1448573.00,,,,,,3699543.00,,0.00,0.00,37.13,2026-05-15
1150515,115,1,1432,大魯閣,1893944.00,2078037.00,3971981.00,1425640.00,770793.00,2196433.00,1080000.00,,296196.00,315852.00,-93182.00,,1598866.00,,,176682.00,1775548.00,0.00,0.00,0.00,14.80,2026-05-15
1150515,115,1,1434,福懋,15272141.00,45874459.00,61146600.00,6346633.00,9381217.00,15727850.00,16846646.00,,955111.00,19319735.00,8316322.00,-19064.00,45418750.00,,,,45418750.00,0.00,0.00,2193228.00,27.00,2026-05-15
1150515,115,1,1436,華友聯,19437696.00,1819034.00,21256730.00,11381473.00,3974433.00,15355906.00,1941518.00,,1133116.00,2367085.00,20550.00,,5462269.00,,,438555.00,5900824.00,,0.00,0.00,28.13,2026-05-15
1150515,115,1,1437,勤益控,2289494.00,11437636.00,13727130.00,1297708.00,4157131.00,5454839.00,2018713.00,,410774.00,5428124.00,412565.00,0.00,8270176.00,,,2115.00,8272291.00,0.00,0.00,0.00,40.97,2026-05-15
1150515,115,1,1438,三地開發,13719838.00,456793.00,14176631.00,9737355.00,1227223.00,10964578.00,1112058.00,,1710226.00,396319.00,-6550.00,,,,,,3212053.00,,0.00,0.00,28.88,2026-05-15
1150515,115,1,1439,雋揚,3556714.00,2527586.00,6084300.00,2128037.00,491445.00,2619482.00,920000.00,,229027.00,1988127.00,-167743.00,,2969411.00,,,495407.00,3464818.00,,0.00,0.00,32.28,2026-05-15
1150515,115,1,1440,南紡,12562200.00,33236905.00,45799105.00,9846736.00,7922847.00,17769583.00,16568159.00,,69088.00,10412015.00,620130.00,,27669392.00,,,360130.00,28029522.00,0.00,0.00,0.00,16.70,2026-05-15
1150515,115,1,1441,大東,673599.00,701999.00,1375598.00,687889.00,262119.00,950008.00,717444.00,,26394.00,-259734.00,-58514.00,,425590.00,,,0.00,425590.00,0.00,0.00,0.00,5.93,2026-05-15
1150515,115,1,1443,立益物流,574408.00,7318518.00,7892926.00,2632618.00,3437125.00,6069743.00,1353430.00,,701.00,250268.00,678409.00,,2282808.00,,,-459625.00,1823183.00,0.00,0.00,0.00,16.87,2026-05-15
1150515,115,1,1444,力麗,6820119.00,13345686.00,20165805.00,7923737.00,1280150.00,9203887.00,9955950.00,,119370.00,94039.00,-469048.00,-28470.00,9671841.00,,,1290077.00,10961918.00,,0.00,11204989.00,9.83,2026-05-15
1150515,115,1,1445,大宇,694320.00,3723484.00,4417804.00,363585.00,1980017.00,2343602.00,1306660.00,,1623.00,658924.00,106995.00,,2074202.00,,,,2074202.00,,0.00,0.00,15.87,2026-05-15
