出表日期,年度,季別,公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),date
1150515,115,1,2374,佳能,2655.78,24.32,9.09,10.33,8.96,2026-05-15
1150515,115,1,2377,微星,56256.84,15.00,6.89,7.35,6.07,2026-05-15
1150515,115,1,2379,瑞昱,36422.57,49.66,11.89,13.67,11.89,2026-05-15
1150515,115,1,2380,虹光,686.10,38.61,8.41,3.52,3.60,2026-05-15
1150515,115,1,2382,廣達,809221.06,4.78,2.85,3.03,2.63,2026-05-15
1150515,115,1,2383,台光電,33067.26,29.42,21.56,21.76,16.15,2026-05-15
1150515,115,1,2385,群光,22871.04,16.15,7.55,7.74,7.25,2026-05-15
1150515,115,1,2387,精元,4395.18,11.65,2.13,5.06,2.90,2026-05-15
1150515,115,1,2388,威盛,2141.09,23.95,-24.02,1.15,0.22,2026-05-15
1150515,115,1,2393,億光,5039.60,24.73,7.41,10.64,8.26,2026-05-15
1150515,115,1,2395,研華,20385.26,39.15,18.29,19.96,16.28,2026-05-15
1150515,115,1,2397,友通,3030.61,24.89,5.57,5.30,3.97,2026-05-15
1150515,115,1,2399,映泰,434.64,16.47,-8.74,67.50,60.54,2026-05-15
1150515,115,1,2401,凌陽,1739.08,49.74,7.83,8.50,5.33,2026-05-15
1150515,115,1,2402,毅嘉,2810.00,12.82,2.87,1.41,0.73,2026-05-15
1150515,115,1,2404,漢唐,20288.46,23.32,19.57,21.76,15.22,2026-05-15
1150515,115,1,2405,輔信,420.08,44.93,-0.42,0.51,0.09,2026-05-15
1150515,115,1,2408,南亞科,49086.93,67.87,61.34,64.62,53.09,2026-05-15
1150515,115,1,2409,友達,69031.36,11.85,-0.92,-0.73,-1.51,2026-05-15
1150515,115,1,2412,中華電,59988.44,37.92,21.85,21.97,17.68,2026-05-15
1150515,115,1,2413,環科,831.40,15.58,1.96,9.65,7.82,2026-05-15
1150515,115,1,2414,精技,8173.36,8.16,3.14,3.15,2.54,2026-05-15
1150515,115,1,2415,錩新,616.86,24.89,11.14,10.33,6.90,2026-05-15
1150515,115,1,2417,圓剛,893.46,57.98,5.68,8.51,7.61,2026-05-15
1150515,115,1,2419,仲琦,2075.19,19.16,1.33,2.93,1.98,2026-05-15
1150515,115,1,2420,新巨,548.08,47.76,29.85,36.79,29.14,2026-05-15
1150515,115,1,2421,建準,5019.47,31.66,15.71,16.03,12.93,2026-05-15
1150515,115,1,2423,固緯,820.80,56.19,25.97,29.66,22.94,2026-05-15
1150515,115,1,2424,隴華,36.83,-1.92,-114.29,-105.41,-105.41,2026-05-15
1150515,115,1,2425,承啟,742.33,7.70,0.01,2.64,15.17,2026-05-15
1150515,115,1,2426,鼎元,545.15,19.63,3.07,3.25,3.05,2026-05-15
1150515,115,1,2427,三商電,1890.79,18.91,3.57,3.69,2.95,2026-05-15
1150515,115,1,2428,興勤,2053.74,33.97,19.90,17.64,13.85,2026-05-15
1150515,115,1,2429,銘旺科,109.22,4.24,-31.03,-34.88,-35.12,2026-05-15
1150515,115,1,2430,燦坤,4297.21,14.80,0.54,0.25,0.20,2026-05-15
1150515,115,1,2431,聯昌,62.55,-6.38,-43.91,-35.92,-35.92,2026-05-15
1150515,115,1,2432,倚天酷碁-創,950.97,10.92,1.92,2.20,1.70,2026-05-15
1150515,115,1,2434,統懋,10.86,-26.22,-154.88,-12.06,-43.55,2026-05-15
1150515,115,1,2436,偉詮電,1047.73,33.54,13.67,16.72,13.12,2026-05-15
1150515,115,1,2439,美律,10970.65,11.83,1.88,3.90,3.51,2026-05-15
1150515,115,1,2440,太空梭,1009.67,5.87,2.51,2.34,1.98,2026-05-15
1150515,115,1,2441,超豐,4722.34,23.63,19.56,21.36,16.90,2026-05-15
1150515,115,1,2442,新美齊,3189.81,28.85,22.62,23.75,18.47,2026-05-15
1150515,115,1,2449,京元電子,10191.94,39.74,27.20,27.55,22.43,2026-05-15
1150515,115,1,2450,神腦,8712.58,9.67,0.71,0.93,0.75,2026-05-15
