Code,Name,TradeVolume,Transaction,TradeValue,TradePrice,BestBidPrice,BestBidVolume,BestAskPrice,BestAskVolume,date
00910,第一金太空衛星,2096,31,153839,73.4000,73.3500,6878,73.4000,1153,2026-05-15
00911,兆豐洲際半導體,150,1,8550,57.0000,57.0000,2498,57.2000,32,2026-05-15
00912,中信臺灣智慧50,60,1,1852,30.8800,30.8800,1537,31.0000,893,2026-05-15
00913,兆豐台灣晶圓製造,613,7,27767,45.3000,45.3000,2337,,,2026-05-15
00915,凱基優選高股息30,1457,15,38924,26.7200,26.7100,5544,26.7200,4714,2026-05-15
00916,國泰全球品牌50,329,3,9152,27.8200,27.8000,1587,27.8200,3694,2026-05-15
00917,中信特選金融,93,3,1997,21.4900,21.4600,5032,21.4900,2259,2026-05-15
00918,大華優利高填息30,4628,35,119711,25.8700,25.8600,5496,25.8700,5891,2026-05-15
00919,群益台灣精選高息,33072,236,855475,25.8700,25.8700,21706,25.8800,25969,2026-05-15
00920,富邦ESG綠色電力,327,9,8635,26.4200,26.4200,4254,26.7000,68,2026-05-15
00921,兆豐龍頭等權重,69,2,1489,21.5900,21.5100,3513,21.5900,1663,2026-05-15
00922,國泰台灣領袖50,3297,48,119561,36.2700,36.2700,8281,36.3400,1932,2026-05-15
00923,群益台ESG低碳50,419,8,16032,38.2700,38.2700,6266,38.2800,2014,2026-05-15
00924,復華S&P500成長,1972,20,63748,32.3300,32.3200,5521,32.3300,3189,2026-05-15
00926,凱基全球菁英55,208,8,5238,25.2000,25.2000,3348,25.2500,1443,2026-05-15
00927,群益半導體收益,1657,16,58933,35.5700,35.5600,7041,35.5700,5690,2026-05-15
00929,復華台灣科技優息,8948,71,233524,26.1000,26.0900,6676,26.1000,8507,2026-05-15
00930,永豐ESG低碳高息,100,3,2149,21.5100,21.4500,2797,21.5100,3600,2026-05-15
00932,兆豐永續高息等權,,,,,16.6000,6185,16.6500,2905,2026-05-15
00934,中信成長高股息,1040,4,26955,25.9200,25.8800,3820,25.9200,862,2026-05-15
00935,野村臺灣新科技50,1901,24,104261,54.8500,54.8500,7273,54.9000,4028,2026-05-15
00936,台新永續高息中小,1216,10,23804,19.5800,19.5000,6763,19.5800,1510,2026-05-15
00938,凱基優選30,,,,,20.9000,1998,21.0500,838,2026-05-15
00939,統一台灣高息動能,276,6,5049,18.3000,18.2700,3946,18.3000,1681,2026-05-15
00940,元大台灣價值高息,3305,28,36904,11.1700,11.1600,3777,11.1700,9355,2026-05-15
00941,中信上游半導體,810,14,20653,25.5000,25.4900,2721,25.5000,2087,2026-05-15
00943,兆豐電子高息等權,,,,,19.3800,6059,19.4500,824,2026-05-15
00944,野村趨勢動能高息,74,1,1393,18.8300,18.7500,5353,18.8300,2748,2026-05-15
00945B,凱基美國非投等債,713,4,10302,14.4500,,,14.4500,997,2026-05-15
00946,群益科技高息成長,1384,9,18155,13.1200,13.1200,2317,13.1300,5213,2026-05-15
00947,台新臺灣IC設計,127,4,4708,37.0800,37.0400,4524,37.0800,3771,2026-05-15
00949,復華日本龍頭,200,4,4043,20.2200,20.1900,4706,20.2200,3022,2026-05-15
00951,台新日本半導體,500,4,8559,17.1200,17.1200,5496,17.2000,923,2026-05-15
00952,凱基台灣AI50,,,,,17.6600,4806,17.8300,942,2026-05-15
00953B,群益優選非投等債,1009,4,9665,9.5800,9.5700,6309,9.5800,100162,2026-05-15
00954,中信日本半導體,293,4,5339,18.2300,18.1000,2298,18.2300,19862,2026-05-15
00956,中信日經高股息,,,,,12.5800,2906,12.6000,917,2026-05-15
00960,野村全球航運龍頭,30,1,524,17.4700,17.4500,3592,17.5500,951,2026-05-15
