Date,Code,Name,Suspension,date
1150515,1560,中砂,,2026-05-15
1150515,1563,巧新,,2026-05-15
1150515,1568,倉佑,,2026-05-15
1150515,1582,信錦,,2026-05-15
1150515,1583,程泰,,2026-05-15
1150515,1587,吉茂,,2026-05-15
1150515,1590,亞德客-KY,,2026-05-15
1150515,1598,岱宇,,2026-05-15
1150515,1603,華電,,2026-05-15
1150515,1604,聲寶,,2026-05-15
1150515,1605,華新,,2026-05-15
1150515,1608,華榮,,2026-05-15
1150515,1609,大亞,,2026-05-15
1150515,1611,中電,,2026-05-15
1150515,1612,宏泰,,2026-05-15
1150515,1614,三洋電,,2026-05-15
1150515,1615,大山,,2026-05-15
1150515,1616,億泰,,2026-05-15
1150515,1617,榮星,,2026-05-15
1150515,1618,合機,,2026-05-15
1150515,1626,艾美特-KY,,2026-05-15
1150515,1702,南僑,,2026-05-15
1150515,1707,葡萄王,,2026-05-15
1150515,1708,東鹼,,2026-05-15
1150515,1709,和益,,2026-05-15
1150515,1710,東聯,,2026-05-15
1150515,1711,永光,,2026-05-15
1150515,1712,興農,,2026-05-15
1150515,1713,國化,,2026-05-15
1150515,1714,和桐,,2026-05-15
1150515,1717,長興,,2026-05-15
1150515,1718,中纖,,2026-05-15
1150515,1720,生達,,2026-05-15
1150515,1722,台肥,,2026-05-15
1150515,1723,中碳,,2026-05-15
1150515,1725,元禎,,2026-05-15
1150515,1726,永記,,2026-05-15
1150515,1727,中華化,,2026-05-15
1150515,1730,花仙子,,2026-05-15
1150515,1731,美吾華,,2026-05-15
1150515,1732,毛寶,,2026-05-15
1150515,1733,五鼎,,2026-05-15
1150515,1734,杏輝,,2026-05-15
1150515,1735,日勝化,,2026-05-15
1150515,1736,喬山,,2026-05-15
1150515,1737,臺鹽,,2026-05-15
1150515,1752,南光,,2026-05-15
1150515,1760,寶齡富錦,,2026-05-15
1150515,1762,中化生,,2026-05-15
1150515,1773,勝一,,2026-05-15
1150515,1776,展宇,,2026-05-15
1150515,1783,和康生,,2026-05-15
1150515,1786,科妍,,2026-05-15
1150515,1789,神隆,,2026-05-15
1150515,1795,美時,,2026-05-15
1150515,1802,台玻,,2026-05-15
1150515,1805,寶徠,,2026-05-15
1150515,1806,冠軍,,2026-05-15
1150515,1808,潤隆,,2026-05-15
1150515,1810,和成,,2026-05-15
1150515,1817,凱撒衛,,2026-05-15
1150515,1903,士紙,,2026-05-15
1150515,1904,正隆,,2026-05-15
1150515,1905,華紙,,2026-05-15
1150515,1906,寶隆,,2026-05-15
1150515,1907,永豐餘,,2026-05-15
1150515,1909,榮成,,2026-05-15
1150515,2002,中鋼,,2026-05-15
1150515,2006,東和鋼鐵,,2026-05-15
1150515,2008,高興昌,,2026-05-15
1150515,2009,第一銅,,2026-05-15
1150515,2010,春源,,2026-05-15
1150515,2012,春雨,,2026-05-15
1150515,2013,中鋼構,,2026-05-15
1150515,2014,中鴻,,2026-05-15
1150515,2015,豐興,,2026-05-15
1150515,2017,官田鋼,,2026-05-15
1150515,2020,美亞,,2026-05-15
1150515,2022,聚亨,,2026-05-15
1150515,2023,燁輝,,2026-05-15
1150515,2024,志聯,,2026-05-15
1150515,2027,大成鋼,,2026-05-15
1150515,2028,威致,,2026-05-15
1150515,2029,盛餘,,2026-05-15
1150515,2030,彰源,,2026-05-15
1150515,2031,新光鋼,,2026-05-15
1150515,2032,新鋼,,2026-05-15
1150515,2033,佳大,,2026-05-15
1150515,2034,允強,,2026-05-15
1150515,2038,海光,,2026-05-15
1150515,2049,上銀,,2026-05-15
1150515,2062,橋椿,,2026-05-15
1150515,2069,運錩,,2026-05-15
1150515,2101,南港,,2026-05-15
1150515,2102,泰豐,,2026-05-15
1150515,2103,台橡,,2026-05-15
1150515,2104,國際中橡,,2026-05-15
1150515,2105,正新,,2026-05-15
1150515,2106,建大,,2026-05-15
1150515,2107,厚生,,2026-05-15
1150515,2108,南帝,,2026-05-15
1150515,2109,華豐,,2026-05-15
1150515,2114,鑫永銓,,2026-05-15
1150515,2115,六暉-KY,,2026-05-15
1150515,2201,裕隆,,2026-05-15
1150515,2204,中華,,2026-05-15
1150515,2206,三陽工業,,2026-05-15
1150515,2207,和泰車,,2026-05-15
1150515,2211,長榮鋼,,2026-05-15
1150515,2228,劍麟,,2026-05-15
1150515,2231,為升,,2026-05-15
1150515,2236,百達-KY,,2026-05-15
1150515,2239,英利-KY,,2026-05-15
1150515,2241,艾姆勒,,2026-05-15
1150515,2243,宏旭-KY,,2026-05-15
1150515,2247,汎德永業,,2026-05-15
1150515,2248,華勝-KY,,2026-05-15
1150515,2250,IKKA-KY,,2026-05-15
1150515,2254,巨鎧精密-創,,2026-05-15
1150515,2258,鴻華先進-創,,2026-05-15
1150515,2301,光寶科,,2026-05-15
1150515,2302,麗正,,2026-05-15
1150515,2303,聯電,,2026-05-15
1150515,2305,全友,,2026-05-15
1150515,2308,台達電,,2026-05-15
1150515,2312,金寶,,2026-05-15
1150515,2313,華通,,2026-05-15
1150515,2316,楠梓電,,2026-05-15
1150515,2317,鴻海,,2026-05-15
1150515,2323,中環,,2026-05-15
1150515,2324,仁寶,,2026-05-15
1150515,2327,國巨*,,2026-05-15
1150515,2328,廣宇,,2026-05-15
1150515,2329,華泰,,2026-05-15
1150515,2330,台積電,,2026-05-15
1150515,2331,精英,,2026-05-15
1150515,2332,友訊,,2026-05-15
1150515,2337,旺宏,,2026-05-15
1150515,2338,光罩,,2026-05-15
1150515,2340,台亞,,2026-05-15
1150515,2342,茂矽,,2026-05-15
1150515,2344,華邦電,,2026-05-15
1150515,2345,智邦,,2026-05-15
1150515,2347,聯強,,2026-05-15
1150515,2348,海悅,,2026-05-15
1150515,2351,順德,,2026-05-15
1150515,2352,佳世達,,2026-05-15
1150515,2353,宏碁,,2026-05-15
1150515,2354,鴻準,,2026-05-15
1150515,2355,敬鵬,,2026-05-15
1150515,2356,英業達,,2026-05-15
1150515,2357,華碩,,2026-05-15
1150515,2359,所羅門,,2026-05-15
1150515,2360,致茂,,2026-05-15
1150515,2362,藍天,,2026-05-15
1150515,2363,矽統,,2026-05-15
1150515,2364,倫飛,,2026-05-15
1150515,2365,昆盈,,2026-05-15
1150515,2367,燿華,,2026-05-15
1150515,2368,金像電,,2026-05-15
1150515,2369,菱生,,2026-05-15
1150515,2371,大同,,2026-05-15
1150515,2373,震旦行,,2026-05-15
1150515,2374,佳能,,2026-05-15
1150515,2375,凱美,,2026-05-15
1150515,2376,技嘉,,2026-05-15
1150515,2377,微星,,2026-05-15
1150515,2379,瑞昱,,2026-05-15
1150515,2382,廣達,,2026-05-15
1150515,2383,台光電,,2026-05-15
1150515,2385,群光,,2026-05-15
1150515,2387,精元,,2026-05-15
1150515,2388,威盛,,2026-05-15
1150515,2390,云辰,,2026-05-15
1150515,2392,正崴,,2026-05-15
1150515,2393,億光,,2026-05-15
1150515,2395,研華,,2026-05-15
1150515,2397,友通,,2026-05-15
1150515,2399,映泰,,2026-05-15
1150515,2401,凌陽,,2026-05-15
1150515,2402,毅嘉,,2026-05-15
1150515,2404,漢唐,,2026-05-15
1150515,2405,輔信,,2026-05-15
1150515,2406,國碩,,2026-05-15
1150515,2408,南亞科,,2026-05-15
1150515,2409,友達,,2026-05-15
1150515,2412,中華電,,2026-05-15
1150515,2413,環科,,2026-05-15
1150515,2414,精技,,2026-05-15
1150515,2415,錩新,,2026-05-15
1150515,2417,圓剛,,2026-05-15
1150515,2419,仲琦,,2026-05-15
1150515,2420,新巨,,2026-05-15
1150515,2421,建準,,2026-05-15
1150515,2423,固緯,,2026-05-15
1150515,2425,承啟,,2026-05-15
1150515,2427,三商電,,2026-05-15
1150515,2428,興勤,,2026-05-15
1150515,2430,燦坤,,2026-05-15
1150515,2432,倚天酷碁-創,,2026-05-15
1150515,2433,互盛電,,2026-05-15
1150515,2434,統懋,,2026-05-15
1150515,2436,偉詮電,,2026-05-15
1150515,2439,美律,,2026-05-15
1150515,2440,太空梭,,2026-05-15
1150515,2441,超豐,,2026-05-15
1150515,2442,新美齊,,2026-05-15
1150515,2449,京元電子,,2026-05-15
1150515,2450,神腦,,2026-05-15
1150515,2451,創見,,2026-05-15
1150515,2453,凌群,,2026-05-15
1150515,2457,飛宏,,2026-05-15
1150515,2458,義隆,,2026-05-15
1150515,2459,敦吉,,2026-05-15
1150515,2461,光群雷,,2026-05-15
1150515,2462,良得電,,2026-05-15
1150515,2464,盟立,,2026-05-15
1150515,2465,麗臺,,2026-05-15
1150515,2466,冠西電,,2026-05-15
1150515,2467,志聖,,2026-05-15
1150515,2468,華經,,2026-05-15
1150515,2471,資通,,2026-05-15
1150515,2472,立隆電,,2026-05-15
1150515,2474,可成,,2026-05-15
1150515,2476,鉅祥,,2026-05-15
1150515,2477,美隆電,,2026-05-15
1150515,2478,大毅,,2026-05-15
1150515,2480,敦陽科,,2026-05-15
1150515,2481,強茂,,2026-05-15
