Date,stock_id,stock_name,volume,amount,open,high,low,close,change,transactions,date
1150514,1463,強盛新,92494.0,1670222.0,18.0,18.2,18.0,18.0,-0.15,75.0,2026-05-15
1150514,1464,得力,802890.0,8057548.0,10.15,10.2,9.99,10.15,0.0,381.0,2026-05-15
1150514,1465,偉全,74040.0,888706.0,12.0,12.1,11.95,11.95,-0.15,125.0,2026-05-15
1150514,1466,聚隆,197655.0,2868777.0,14.55,14.85,14.3,14.35,-0.15,127.0,2026-05-15
1150514,1467,南緯,223107.0,1601733.0,7.15,7.28,7.1,7.11,-0.01,183.0,2026-05-15
1150514,1468,昶和,49001.0,601212.0,12.35,12.4,12.0,12.25,-0.15,42.0,2026-05-15
1150514,1470,大統新創,26010.0,557315.0,21.25,21.8,21.25,21.4,-0.1,8.0,2026-05-15
1150514,1471,首利,705154.0,7448398.0,10.8,10.8,10.4,10.6,0.0,360.0,2026-05-15
1150514,1472,三洋實業,9162.0,817294.0,89.2,89.2,89.2,89.2,0.1,10.0,2026-05-15
1150514,1473,台南,79099.0,1613315.0,20.5,20.6,20.25,20.25,-0.25,172.0,2026-05-15
1150514,1474,弘裕,95070.0,943797.0,10.0,10.0,9.9,9.9,-0.09,165.0,2026-05-15
1150514,1475,業旺,76064.0,2058978.0,27.3,27.3,26.65,26.95,-0.35,50.0,2026-05-15
1150514,1476,儒鴻,808048.0,277624808.0,349.0,353.0,341.5,341.5,-7.5,1229.0,2026-05-15
1150514,1477,聚陽,2788469.0,627913776.0,231.0,231.0,222.5,223.0,-6.0,4052.0,2026-05-15
1150514,1503,士電,2565177.0,509719156.0,203.5,204.5,196.5,197.0,-4.5,3881.0,2026-05-15
1150514,1504,東元,20939726.0,1547477157.0,74.1,76.4,72.0,72.4,-0.8,14637.0,2026-05-15
1150514,1506,正道,315998.0,3215206.0,10.35,10.4,10.05,10.2,-0.15,192.0,2026-05-15
1150514,1512,瑞利,205565.0,1430481.0,7.02,7.05,6.92,6.96,-0.07,108.0,2026-05-15
1150514,1513,中興電,4842134.0,746880382.0,156.5,157.0,153.0,153.0,-2.5,6942.0,2026-05-15
1150514,1514,亞力,4786298.0,565483986.0,122.0,122.0,116.0,116.5,-4.0,11496.0,2026-05-15
1150514,1515,力山,347215.0,7717095.0,22.65,22.75,22.1,22.15,-0.45,278.0,2026-05-15
1150514,1516,川飛,98067.0,2125593.0,21.6,21.85,21.6,21.8,0.2,88.0,2026-05-15
1150514,1517,利奇,238911.0,2425426.0,10.25,10.25,10.1,10.1,0.0,203.0,2026-05-15
1150514,1519,華城,4959620.0,4339175620.0,900.0,901.0,862.0,870.0,-25.0,22087.0,2026-05-15
1150514,1521,大億,28697.0,714944.0,25.1,25.15,24.5,24.5,-0.7,50.0,2026-05-15
1150514,1522,堤維西,1976686.0,59925966.0,31.1,31.1,30.1,30.15,-0.95,1467.0,2026-05-15
1150514,1524,耿鼎,656133.0,18953001.0,29.25,29.25,28.8,28.8,-0.2,508.0,2026-05-15
1150514,1525,江申,18137.0,1087017.0,60.2,60.2,59.7,59.8,-0.2,23.0,2026-05-15
1150514,1526,日馳,274750.0,4092878.0,15.3,15.3,14.65,14.7,-0.45,243.0,2026-05-15
1150514,1527,鑽全,227209.0,7382706.0,32.35,32.6,32.35,32.5,-0.05,183.0,2026-05-15
1150514,1528,恩德,6878801.0,176101431.0,26.25,26.3,25.1,25.25,-0.95,4130.0,2026-05-15
1150514,1529,樂事綠能,1503514.0,31684210.0,21.8,21.8,20.75,20.85,-0.95,1182.0,2026-05-15
1150514,1530,亞崴,28715.0,761132.0,26.45,26.8,26.4,26.4,-0.05,68.0,2026-05-15
1150514,1531,高林股,110702.0,1390656.0,12.7,12.7,12.5,12.55,-0.15,97.0,2026-05-15
1150514,1532,勤美,1515750.0,30599559.0,20.25,20.5,20.05,20.2,-0.25,617.0,2026-05-15
1150514,1533,車王電,511214.0,17594185.0,33.9,34.75,33.9,34.7,1.05,427.0,2026-05-15
1150514,1535,中宇,84884.0,4199654.0,49.2,49.7,49.2,49.4,0.0,79.0,2026-05-15
1150514,1536,和大,1298625.0,66995671.0,51.3,52.2,51.2,51.3,0.1,1039.0,2026-05-15
1150514,1537,廣隆,107041.0,13500499.0,126.5,126.5,126.0,126.0,-0.5,126.0,2026-05-15
1150514,1538,正峰,541.0,6494.0,,,,,0.0,6.0,2026-05-15
1150514,1539,巨庭,145305.0,2272045.0,15.7,15.9,15.55,15.55,-0.05,78.0,2026-05-15
1150514,1540,喬福,251255.0,5170144.0,20.8,21.0,20.5,20.5,0.0,209.0,2026-05-15
1150514,1541,錩泰,86122.0,1885096.0,22.75,22.75,21.7,21.8,-0.45,52.0,2026-05-15
1150514,1558,伸興,57887.0,5251897.0,90.9,90.9,90.5,90.5,-0.4,162.0,2026-05-15
1150514,1560,中砂,3543314.0,2291931598.0,640.0,657.0,627.0,650.0,17.0,4964.0,2026-05-15
1150514,1563,巧新,1578742.0,72205744.0,44.4,46.6,44.4,45.4,1.2,1314.0,2026-05-15
1150514,1568,倉佑,347861.0,9888828.0,28.6,29.15,28.2,28.35,-0.25,234.0,2026-05-15
1150514,1582,信錦,7138184.0,693425268.0,93.8,99.8,93.2,97.8,5.8,6268.0,2026-05-15
1150514,1583,程泰,31430.0,1482749.0,47.05,48.0,46.7,46.7,-0.55,91.0,2026-05-15
1150514,1587,吉茂,455482.0,13339449.0,30.05,30.3,29.0,29.1,-0.75,384.0,2026-05-15
1150514,1590,亞德客-KY,897053.0,1313168020.0,1470.0,1520.0,1440.0,1465.0,-15.0,1504.0,2026-05-15
1150514,1597,直得,1210759.0,228717645.0,195.0,195.0,180.0,180.0,-9.0,1792.0,2026-05-15
1150514,1598,岱宇,178264.0,3646322.0,20.5,20.75,20.15,20.15,-0.2,171.0,2026-05-15
1150514,1603,華電,306502.0,9902919.0,32.25,32.8,32.05,32.05,-0.15,251.0,2026-05-15
1150514,1604,聲寶,317385.0,7283464.0,22.9,23.15,22.8,22.85,-0.05,340.0,2026-05-15
1150514,1605,華新,68254583.0,2433886669.0,35.8,36.7,34.6,35.6,0.4,29691.0,2026-05-15
1150514,1608,華榮,2881405.0,95953173.0,33.8,34.0,32.95,32.95,-0.6,1703.0,2026-05-15
1150514,1609,大亞,4011744.0,138008455.0,34.55,35.2,34.05,34.1,-0.45,2962.0,2026-05-15
1150514,1611,中電,798037.0,9012685.0,11.45,11.5,11.2,11.2,-0.25,895.0,2026-05-15
1150514,1612,宏泰,826641.0,30160695.0,36.85,37.05,36.15,36.15,-0.7,711.0,2026-05-15
1150514,1614,三洋電,95316.0,3001279.0,31.55,31.65,31.15,31.15,-0.5,57.0,2026-05-15
1150514,1615,大山,212163.0,9170127.0,43.3,43.95,43.1,43.1,-0.45,193.0,2026-05-15
1150514,1616,億泰,1162382.0,25258521.0,22.1,22.4,21.55,21.55,-0.55,735.0,2026-05-15
1150514,1617,榮星,248216.0,3691647.0,14.9,15.05,14.8,14.8,-0.4,223.0,2026-05-15
1150514,1618,合機,822197.0,32008240.0,39.05,39.7,38.3,38.3,0.2,576.0,2026-05-15
1150514,1623,大東電,196490.0,43919044.0,226.0,228.5,220.5,222.0,-4.0,371.0,2026-05-15
1150514,1626,艾美特-KY,149496.0,1518511.0,10.25,10.35,10.0,10.0,-0.55,321.0,2026-05-15
1150514,1702,南僑,469821.0,15736182.0,33.3,33.75,33.25,33.5,0.2,478.0,2026-05-15
1150514,1707,葡萄王,282665.0,30654434.0,108.5,109.0,108.0,108.5,-1.0,613.0,2026-05-15
1150514,1708,東鹼,2487053.0,101542978.0,41.6,41.6,40.45,40.5,-1.1,3076.0,2026-05-15
1150514,1709,和益,465171.0,8593630.0,18.55,18.6,18.35,18.4,-0.05,336.0,2026-05-15
1150514,1710,東聯,1994029.0,23950570.0,12.25,12.25,11.95,11.95,-0.05,859.0,2026-05-15
1150514,1711,永光,15774320.0,809536621.0,51.4,52.8,50.4,50.8,-0.5,10068.0,2026-05-15
1150514,1712,興農,357050.0,14757086.0,41.45,41.45,41.25,41.25,-0.2,371.0,2026-05-15
1150514,1713,國化,156875.0,7417519.0,47.25,47.5,47.1,47.3,0.2,107.0,2026-05-15
1150514,1714,和桐,4377614.0,43785169.0,10.0,10.1,9.89,10.0,0.11,1539.0,2026-05-15
1150514,1717,長興,32282351.0,2556324772.0,81.1,81.4,78.0,79.6,-0.8,20893.0,2026-05-15
1150514,1718,中纖,5573917.0,37094216.0,6.57,6.73,6.52,6.68,0.17,1684.0,2026-05-15
1150514,1720,生達,389890.0,24158862.0,61.6,62.5,61.4,61.8,0.2,307.0,2026-05-15
1150514,1721,三晃,9805262.0,326528723.0,34.7,34.75,32.5,32.5,-2.25,16412.0,2026-05-15
1150514,1722,台肥,3527933.0,165420697.0,46.8,47.3,46.5,47.0,0.3,2152.0,2026-05-15
1150514,1723,中碳,749130.0,60463371.0,79.8,81.5,79.5,80.7,0.5,747.0,2026-05-15
1150514,1725,元禎,126127.0,3978529.0,32.2,32.2,31.15,31.45,-0.15,141.0,2026-05-15
1150514,1726,永記,119905.0,9323179.0,77.0,78.5,77.0,77.2,1.0,274.0,2026-05-15
1150514,1727,中華化,8180752.0,646684793.0,80.0,80.6,77.5,79.5,-0.5,6796.0,2026-05-15
1150514,1730,花仙子,43888.0,2321752.0,52.9,53.1,52.8,52.8,0.0,53.0,2026-05-15
1150514,1731,美吾華,177337.0,3826578.0,21.55,21.7,21.5,21.55,0.0,128.0,2026-05-15
1150514,1732,毛寶,119917.0,3150565.0,26.25,26.65,26.1,26.3,0.15,153.0,2026-05-15
1150514,1733,五鼎,159840.0,4612620.0,28.75,29.05,28.75,28.8,0.05,129.0,2026-05-15
1150514,1734,杏輝,258641.0,7938808.0,30.55,30.8,30.55,30.65,-0.15,281.0,2026-05-15
1150514,1735,日勝化,536681.0,14407699.0,26.95,27.5,26.65,26.7,-0.05,312.0,2026-05-15
1150514,1736,喬山,528733.0,61453134.0,117.5,118.0,114.5,116.5,-1.0,493.0,2026-05-15
1150514,1737,臺鹽,140638.0,4433672.0,31.5,31.65,31.45,31.5,0.0,158.0,2026-05-15
1150514,1752,南光,143727.0,4761546.0,33.25,33.3,33.0,33.0,-0.45,88.0,2026-05-15
1150514,1760,寶齡富錦,161460.0,10014848.0,63.0,63.0,61.8,61.8,-0.4,249.0,2026-05-15
1150514,1762,中化生,2960555.0,114004552.0,39.4,40.85,36.25,37.0,-0.95,2238.0,2026-05-15
1150514,1773,勝一,762290.0,135952373.0,181.0,181.0,176.5,177.5,-2.0,5236.0,2026-05-15
1150514,1776,展宇,800623.0,14885992.0,17.5,18.7,17.5,18.7,1.7,237.0,2026-05-15
1150514,1783,和康生,93303.0,3586161.0,38.25,38.6,38.25,38.3,-0.2,105.0,2026-05-15
1150514,1786,科妍,745079.0,38940589.0,53.6,54.0,51.3,51.5,-2.9,671.0,2026-05-15
1150514,1789,神隆,655845.0,12517344.0,19.1,19.2,18.95,19.15,-0.1,395.0,2026-05-15
1150514,1795,美時,6164381.0,1223640433.0,205.5,206.0,195.5,198.5,-7.0,8959.0,2026-05-15
1150514,1802,台玻,65655018.0,4436696440.0,68.6,69.2,66.5,66.9,-1.1,42213.0,2026-05-15
1150514,1805,寶徠,144565.0,1489124.0,10.25,10.35,10.2,10.25,-0.05,82.0,2026-05-15
1150514,1806,冠軍,468336.0,3814589.0,8.08,8.27,8.08,8.09,-0.03,303.0,2026-05-15
1150514,1808,潤隆,1832124.0,53321336.0,29.0,29.55,28.7,29.45,0.55,1098.0,2026-05-15
1150514,1809,中釉,3396542.0,136076571.0,40.2,41.45,39.0,39.25,0.25,2740.0,2026-05-15
