Code,Name,TradeVolume,Transaction,TradeValue,TradePrice,BidVolume,AskVolume,date
020039,元大加權N,,,,13.29,,,2026-05-15
030012,AES凱基57購02,,,,0.40,,,2026-05-15
03001T,啟碁台新5A售02,,,,1.54,,,2026-05-15
03002T,台積電群益5A售12,,,,1.74,,,2026-05-15
030040,群創群益57購01,,,,19.00,,,2026-05-15
030044,臻鼎群益57購01,,,,16.60,,,2026-05-15
03004T,臺股指群益5C售05,,,,0.36,,,2026-05-15
03006T,臺股指群益5C售07,,,,0.68,,,2026-05-15
030076,台塑統一56購01,,,,0.20,,,2026-05-15
030078,南亞統一56購02,,,,4.04,,,2026-05-15
03007T,台灣50元大5B售05,,,,0.61,,,2026-05-15
030083,光寶科統一56購01,,,,2.30,,,2026-05-15
030086,全新統一56購05,,,,3.80,,,2026-05-15
030088,玉晶光統一59購01,,,,0.70,,,2026-05-15
03008T,臺股指元大5A售29,,,,0.49,,,2026-05-15
030092,訊芯統一59購01,,,,5.90,,,2026-05-15
030095,南電統一59購02,,,,12.50,,,2026-05-15
03009T,聯發科凱基64售03,,,,0.70,,,2026-05-15
03011T,台積電凱基67售14,,,,1.87,,,2026-05-15
03012T,聯發科凱基63售01,,,,0.35,,,2026-05-15
03012X,元展12,,,,47.20,,,2026-05-15
030135,飛捷國票59購01,,,,0.86,,,2026-05-15
03013T,大立光凱基5A售06,,,,0.62,,,2026-05-15
03013X,元展13,,,,39.20,,,2026-05-15
03014T,臺股指凱基5A售47,,,,0.58,,,2026-05-15
03016T,臺股指凱基5C售17,,,,0.72,,,2026-05-15
030174,鴻海凱基63購01,,,,4.26,,,2026-05-15
03018T,玉晶光國票5A售03,,,,1.00,,,2026-05-15
03019T,台灣50台新5A售03,,,,1.09,,,2026-05-15
030225,AES元大56購03,,,,0.02,,,2026-05-15
03022T,大立光台新5A售03,,,,1.05,,,2026-05-15
030239,南亞統一58購01,,,,4.49,,,2026-05-15
030243,台化統一62購01,,,,1.21,,,2026-05-15
030245,台玻統一5A購01,,,,3.68,,,2026-05-15
030247,長榮太統一56購02,,,,0.50,,,2026-05-15
030248,TPK統一58購01,,,,2.41,,,2026-05-15
03024T,臺股指群益65售04,,,,2.12,,,2026-05-15
030250,同欣電統一5B購01,,,,1.82,,,2026-05-15
030251,AES統一5C購01,,,,0.23,,,2026-05-15
030256,國喬元富58購01,,,,0.37,,,2026-05-15
03025T,T50正2國票5A售05,,,,0.87,,,2026-05-15
03026T,滬深2X國票5B售01,,,,0.86,,,2026-05-15
03027T,華邦電國票5B售02,,,,0.54,,,2026-05-15
03028T,南亞科國票5B售02,,,,0.41,,,2026-05-15
03029T,臺股指國票5A售07,,,,0.91,,,2026-05-15
03029U,臺股指群益58售02,,,,0.02,,,2026-05-15
03030T,台灣50台新5A售05,,,,1.01,,,2026-05-15
03032T,國巨台新5A售05,,,,0.87,,,2026-05-15
03033T,S&P正2凱基5B售01,,,,0.76,,,2026-05-15
030348,滬深2X元大57購03,,,,3.77,,,2026-05-15
030349,滬深2X元大58購01,,,,2.28,,,2026-05-15
03034T,美費半凱基5A售02,,,,0.44,,,2026-05-15
030350,滬深2X元大5A購01,,,,3.10,,,2026-05-15
03035X,元展32,,,,11.50,,,2026-05-15
03036T,華邦電凱基5A售03,,,,0.65,,,2026-05-15
