Date,Code,Name,ClosePrice,DividendYield,DividendYear,PEratio,PBratio,FiscalYearQuarter,date
20260514,1735,日勝化,26.70,2.43,114,32.96,1.67,2026Q1,2026-05-15
20260514,1736,喬山,116.50,3.43,113,14.16,2.51,2026Q1,2026-05-15
20260514,1737,臺鹽,31.50,4.44,114,15.83,0.91,2026Q1,2026-05-15
20260514,1752,南光,33.00,4.85,114,16.26,1.42,2026Q1,2026-05-15
20260514,1760,寶齡富錦,61.80,3.24,114,24.82,2.89,2026Q1,2026-05-15
20260514,1762,中化生,37.00,0.51,113,,0.90,2026Q1,2026-05-15
20260514,1773,勝一,177.50,2.25,114,24.48,4.49,2026Q1,2026-05-15
20260514,1776,展宇,18.70,3.21,114,38.16,1.30,2026Q1,2026-05-15
20260514,1783,和康生,38.30,5.22,114,12.68,2.11,2026Q1,2026-05-15
20260514,1786,科妍,51.50,3.71,114,30.29,2.07,2026Q1,2026-05-15
20260514,1789,神隆,19.15,1.51,114,136.79,1.47,2026Q1,2026-05-15
20260514,1795,美時,198.50,1.36,114,13.54,2.17,2026Q1,2026-05-15
20260514,1802,台玻,66.90,,113,514.62,3.92,2026Q1,2026-05-15
20260514,1805,寶徠,10.25,,113,78.85,0.84,2026Q1,2026-05-15
20260514,1806,冠軍,8.09,1.85,114,57.79,0.60,2026Q1,2026-05-15
20260514,1808,潤隆,29.45,5.09,114,10.99,1.92,2026Q1,2026-05-15
20260514,1809,中釉,39.25,0.64,114,206.58,2.22,2026Q1,2026-05-15
20260514,1810,和成,18.75,1.07,114,4.96,0.70,2026Q1,2026-05-15
20260514,1817,凱撒衛,39.40,5.58,114,9.40,1.21,2026Q1,2026-05-15
20260514,1903,士紙,47.55,,113,36.86,2.27,2026Q1,2026-05-15
20260514,1904,正隆,19.95,2.26,114,16.35,0.74,2026Q1,2026-05-15
20260514,1905,華紙,12.10,,113,,0.83,2025Q4,2026-05-15
20260514,1906,寶隆,10.70,0.93,113,,0.52,2026Q1,2026-05-15
20260514,1907,永豐餘,24.45,4.09,114,20.55,0.54,2025Q4,2026-05-15
20260514,1909,榮成,8.95,,113,,0.56,2026Q1,2026-05-15
20260514,2002,中鋼,18.30,0.82,114,,0.94,2026Q1,2026-05-15
20260514,2006,東和鋼鐵,66.10,6.51,114,9.97,1.49,2026Q1,2026-05-15
20260514,2007,燁興,7.08,,113,,0.94,2026Q1,2026-05-15
20260514,2008,高興昌,27.50,3.64,114,36.67,1.39,2026Q1,2026-05-15
20260514,2009,第一銅,40.60,0.99,114,71.23,1.76,2026Q1,2026-05-15
20260514,2010,春源,23.35,8.57,114,10.02,1.25,2026Q1,2026-05-15
20260514,2012,春雨,14.80,2.03,114,,1.08,2026Q1,2026-05-15
20260514,2013,中鋼構,42.50,5.65,114,13.16,1.46,2026Q1,2026-05-15
20260514,2014,中鴻,17.90,,113,,2.15,2026Q1,2026-05-15
20260514,2015,豐興,63.10,5.23,114,15.89,1.73,2026Q1,2026-05-15
20260514,2017,官田鋼,8.72,,113,,0.79,2025Q4,2026-05-15
20260514,2020,美亞,21.80,8.26,114,11.24,1.42,2026Q1,2026-05-15
20260514,2022,聚亨,7.90,,113,,0.79,2026Q1,2026-05-15
20260514,2023,燁輝,13.95,,113,,0.81,2026Q1,2026-05-15
20260514,2024,志聯,13.40,,113,191.43,1.16,2026Q1,2026-05-15
20260514,2025,千興,12.20,,113,76.25,1.27,2026Q1,2026-05-15
20260514,2027,大成鋼,39.80,3.77,114,14.01,1.25,2025Q4,2026-05-15
20260514,2028,威致,16.65,1.20,114,47.57,1.13,2026Q1,2026-05-15
20260514,2029,盛餘,20.15,2.98,114,32.50,0.65,2026Q1,2026-05-15
20260514,2030,彰源,17.95,2.79,114,27.20,0.99,2026Q1,2026-05-15
20260514,2031,新光鋼,38.65,6.47,114,8.46,1.18,2026Q1,2026-05-15
20260514,2032,新鋼,16.90,2.96,114,19.65,1.26,2026Q1,2026-05-15
20260514,2033,佳大,15.00,1.33,113,45.45,1.14,2026Q1,2026-05-15
20260514,2034,允強,19.95,5.01,114,,1.10,2026Q1,2026-05-15
20260514,2038,海光,13.50,1.48,113,,0.68,2026Q1,2026-05-15
20260514,2049,上銀,374.50,0.53,114,81.59,3.53,2026Q1,2026-05-15
20260514,2059,川湖,5010.00,1.02,114,44.16,15.14,2026Q1,2026-05-15
20260514,2062,橋椿,19.60,5.10,114,93.33,0.52,2026Q1,2026-05-15
20260514,2069,運錩,20.00,5.00,114,10.87,0.76,2026Q1,2026-05-15
20260514,2072,世紀風電,171.50,4.13,114,13.12,1.41,2026Q1,2026-05-15
20260514,2101,南港,32.55,2.15,114,10.50,1.75,2026Q1,2026-05-15
20260514,2102,泰豐,18.15,,113,2.89,0.86,2025Q4,2026-05-15
20260514,2103,台橡,22.00,1.23,114,32.84,0.89,2026Q1,2026-05-15
20260514,2104,國際中橡,9.94,,113,,0.41,2026Q1,2026-05-15
20260514,2105,正新,31.90,5.64,114,19.69,1.22,2026Q1,2026-05-15
20260514,2106,建大,16.85,3.86,114,99.12,0.82,2026Q1,2026-05-15
20260514,2107,厚生,25.45,5.50,114,17.67,0.58,2026Q1,2026-05-15
20260514,2108,南帝,27.65,3.62,114,31.78,0.95,2026Q1,2026-05-15
20260514,2109,華豐,14.00,7.14,114,11.67,1.12,2026Q1,2026-05-15
20260514,2114,鑫永銓,88.00,5.68,114,15.30,2.09,2026Q1,2026-05-15
20260514,2115,六暉-KY,20.45,5.87,114,16.10,0.64,2026Q1,2026-05-15
20260514,2201,裕隆,27.30,2.05,114,32.12,0.45,2026Q1,2026-05-15
20260514,2204,中華,52.20,6.90,114,9.68,0.76,2025Q4,2026-05-15
20260514,2206,三陽工業,58.50,5.13,114,10.05,1.73,2025Q4,2026-05-15
20260514,2207,和泰車,468.50,4.27,114,13.72,3.29,2026Q1,2026-05-15
20260514,2208,台船,19.75,,113,,3.43,2026Q1,2026-05-15
20260514,2211,長榮鋼,96.80,6.71,114,11.26,1.48,2025Q4,2026-05-15
20260514,2227,裕日車,49.50,7.88,113,53.23,0.81,2026Q1,2026-05-15
20260514,2228,劍麟,83.00,5.42,114,19.44,1.27,2026Q1,2026-05-15
20260514,2231,為升,107.00,0.47,114,,4.22,2026Q1,2026-05-15
20260514,2233,宇隆,282.50,1.42,114,45.06,4.26,2026Q1,2026-05-15
20260514,2236,百達-KY,138.50,0.47,114,,3.88,2025Q4,2026-05-15
20260514,2239,英利-KY,21.60,,113,,0.22,2026Q1,2026-05-15
20260514,2241,艾姆勒,32.85,,113,,2.57,2026Q1,2026-05-15
20260514,2243,宏旭-KY,21.00,,113,8.43,1.64,2026Q1,2026-05-15
20260514,2247,汎德永業,208.00,6.97,114,13.10,1.35,2026Q1,2026-05-15
20260514,2248,華勝-KY,54.70,5.63,114,10.52,1.57,2025Q4,2026-05-15
20260514,2250,IKKA-KY,62.50,4.80,114,18.55,1.06,2026Q1,2026-05-15
20260514,2254,巨鎧精密-創,58.50,,113,,3.60,2026Q1,2026-05-15
20260514,2258,鴻華先進-創,28.20,,113,,3.69,2025Q4,2026-05-15
20260514,2301,光寶科,207.00,2.42,114,30.44,5.33,2026Q1,2026-05-15
20260514,2302,麗正,25.25,1.39,114,31.96,2.35,2026Q1,2026-05-15
20260514,2303,聯電,108.00,2.41,114,27.14,3.34,2026Q1,2026-05-15
20260514,2305,全友,16.35,,113,60.56,1.41,2026Q1,2026-05-15
20260514,2308,台達電,2155.00,0.54,114,79.46,18.69,2026Q1,2026-05-15
20260514,2312,金寶,28.25,2.12,114,27.16,1.89,2026Q1,2026-05-15
20260514,2313,華通,245.50,1.14,114,43.30,6.25,2026Q1,2026-05-15
20260514,2314,台揚,12.60,,113,,23.77,2026Q1,2026-05-15
20260514,2316,楠梓電,134.00,1.49,114,8.68,1.77,2026Q1,2026-05-15
20260514,2317,鴻海,244.50,2.94,114,18.03,1.93,2025Q4,2026-05-15
20260514,2321,東訊,12.80,,113,,2.21,2026Q1,2026-05-15
20260514,2323,中環,10.00,2.00,114,6.33,0.57,2025Q4,2026-05-15
20260514,2324,仁寶,30.25,3.64,114,21.92,1.00,2025Q4,2026-05-15
20260514,2327,國巨*,462.00,1.30,114,40.21,5.56,2025Q4,2026-05-15
20260514,2328,廣宇,51.80,1.74,114,33.21,1.80,2025Q4,2026-05-15
20260514,2329,華泰,58.20,1.72,114,26.33,3.35,2026Q1,2026-05-15
20260514,2330,台積電,2270.00,0.97,114,34.27,10.86,2025Q4,2026-05-15
20260514,2331,精英,19.90,1.06,113,39.80,1.02,2026Q1,2026-05-15
20260514,2332,友訊,13.75,0.73,113,,1.00,2026Q1,2026-05-15
20260514,2337,旺宏,169.00,,113,,6.61,2026Q1,2026-05-15
20260514,2338,光罩,48.15,,113,,3.12,2025Q4,2026-05-15
20260514,2340,台亞,36.35,,113,,2.52,2026Q1,2026-05-15
20260514,2342,茂矽,42.15,0.71,113,,2.84,2025Q4,2026-05-15
20260514,2344,華邦電,134.00,0.37,114,39.76,5.17,2026Q1,2026-05-15
20260514,2345,智邦,2675.00,0.56,114,50.59,22.89,2026Q1,2026-05-15
20260514,2347,聯強,83.30,5.04,114,14.49,1.77,2026Q1,2026-05-15
20260514,2348,海悅,69.70,7.89,114,16.80,1.51,2026Q1,2026-05-15
20260514,2349,錸德,12.60,,113,,1.62,2025Q4,2026-05-15
20260514,2351,順德,182.00,0.60,114,80.53,4.58,2026Q1,2026-05-15
20260514,2352,佳世達,25.60,3.91,114,41.29,1.38,2026Q1,2026-05-15
20260514,2353,宏碁,28.00,4.64,114,21.21,1.16,2026Q1,2026-05-15
20260514,2354,鴻準,59.00,2.54,114,27.96,0.78,2026Q1,2026-05-15
20260514,2355,敬鵬,53.90,1.86,114,31.89,1.21,2026Q1,2026-05-15
20260514,2356,英業達,53.20,3.76,114,20.23,2.60,2026Q1,2026-05-15
20260514,2357,華碩,679.00,6.19,114,12.13,1.76,2026Q1,2026-05-15
20260514,2359,所羅門,123.00,0.81,114,63.40,3.67,2026Q1,2026-05-15
20260514,2360,致茂,2260.00,0.86,114,71.27,34.52,2026Q1,2026-05-15
20260514,2362,藍天,39.10,5.12,114,17.46,0.51,2026Q1,2026-05-15
20260514,2363,矽統,63.00,0.95,114,37.06,1.59,2026Q1,2026-05-15
20260514,2364,倫飛,69.00,4.35,114,17.65,4.63,2026Q1,2026-05-15
20260514,2365,昆盈,35.30,0.85,114,90.51,2.52,2026Q1,2026-05-15
20260514,2367,燿華,65.00,0.31,114,,3.61,2026Q1,2026-05-15
20260514,2368,金像電,1430.00,0.70,114,64.56,20.97,2026Q1,2026-05-15
20260514,2369,菱生,30.25,0.99,113,,2.34,2026Q1,2026-05-15
20260514,2371,大同,29.00,10.72,113,,1.28,2025Q4,2026-05-15
20260514,2373,震旦行,55.70,6.64,114,14.32,1.67,2025Q4,2026-05-15
20260514,2374,佳能,80.30,2.24,113,28.88,3.03,2026Q1,2026-05-15
20260514,2375,凱美,101.00,1.19,114,27.08,1.11,2025Q4,2026-05-15
20260514,2376,技嘉,327.00,3.67,114,17.97,3.71,2025Q4,2026-05-15
20260514,2377,微星,117.00,3.59,114,12.23,1.80,2026Q1,2026-05-15
20260514,2379,瑞昱,574.00,4.36,114,20.66,6.55,2026Q1,2026-05-15
20260514,2380,虹光,5.86,,113,29.30,2.27,2025Q4,2026-05-15
20260514,2382,廣達,334.50,4.66,114,16.82,6.21,2026Q1,2026-05-15
20260514,2383,台光電,4920.00,0.51,114,106.72,36.77,2026Q1,2026-05-15
20260514,2385,群光,126.50,5.69,114,14.28,2.23,2026Q1,2026-05-15
20260514,2387,精元,38.55,10.38,114,13.53,0.73,2026Q1,2026-05-15
20260514,2388,威盛,75.80,0.26,113,421.11,1.93,2026Q1,2026-05-15
20260514,2390,云辰,10.00,,113,,0.83,2025Q4,2026-05-15
20260514,2392,正崴,34.40,2.91,114,,0.72,2025Q4,2026-05-15
20260514,2393,億光,65.70,6.85,114,15.68,1.42,2026Q1,2026-05-15
20260514,2395,研華,465.00,2.41,114,36.07,8.14,2026Q1,2026-05-15
20260514,2397,友通,61.00,4.02,114,26.29,2.16,2026Q1,2026-05-15
20260514,2399,映泰,47.20,,113,30.26,3.41,2026Q1,2026-05-15
20260514,2401,凌陽,24.85,,113,,1.78,2026Q1,2026-05-15
20260514,2402,毅嘉,67.90,2.95,114,34.82,2.94,2026Q1,2026-05-15
20260514,2404,漢唐,1050.00,3.81,114,19.52,13.79,2026Q1,2026-05-15
20260514,2405,輔信,14.95,0.67,114,,1.48,2026Q1,2026-05-15
20260514,2406,國碩,31.80,,113,,3.13,2025Q4,2026-05-15
20260514,2408,南亞科,341.00,0.44,114,30.53,5.48,2026Q1,2026-05-15
20260514,2409,友達,19.55,2.05,114,61.09,0.99,2026Q1,2026-05-15
20260514,2412,中華電,137.50,3.78,114,27.34,2.69,2026Q1,2026-05-15
20260514,2413,環科,43.85,1.14,114,56.95,2.69,2026Q1,2026-05-15
20260514,2414,精技,48.70,6.16,114,13.80,2.30,2026Q1,2026-05-15
20260514,2415,錩新,26.65,5.97,114,13.88,1.35,2026Q1,2026-05-15
