Code,Name,TradeVolume,Transaction,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Dir,Change,LastBestBidPrice,LastBestBidVolume,LastBestAskPrice,LastBestAskVolume,PriceEarningRatio,date
8488,吉源-KY,14000,11,138860,9.91,9.98,9.85,9.89,-,0.10,9.86,1,9.91,1,-,2026-05-15
8499,鼎炫-KY,351802,4658,105026337,307.50,312.00,288.50,295.00,-,16.00,295.00,4,297.00,4,29.56,2026-05-15
9802,鈺齊-KY,852830,804,66337905,79.10,79.50,77.00,77.00,-,2.20,77.00,2,77.40,8,13.58,2026-05-15
1256,鮮活果汁-KY,222663,846,42064525,196.00,196.00,184.00,185.00,-,6.00,184.50,1,185.00,1,13.97,2026-05-15
1337,再生-KY,638649,339,3142644,4.93,4.98,4.88,4.90,-,0.05,4.90,20,4.94,8,-,2026-05-15
1338,廣華-KY,256287,218,3966194,15.90,15.95,15.25,15.45,-,0.55,15.45,1,15.50,1,-,2026-05-15
1340,勝悅-KY,475695,612,2634432,5.46,5.71,5.42,5.55,+,0.09,5.54,2,5.55,1,-,2026-05-15
1341,富林-KY,6003,9,365377,61.10,61.10,60.70,60.70,-,0.40,60.60,1,61.50,1,14.88,2026-05-15
1590,亞德客-KY,897053,1504,1313168020,1470.00,1520.00,1440.00,1465.00,-,15.00,1460.00,10,1465.00,4,32.07,2026-05-15
1626,艾美特-KY,149496,321,1518511,10.25,10.35,10.00,10.00,-,0.55,10.00,4,10.10,4,-,2026-05-15
2115,六暉-KY,250812,135,5156286,20.75,20.75,20.40,20.45,-,0.30,20.45,5,20.55,37,16.10,2026-05-15
2236,百達-KY,409494,296,57013926,139.00,140.00,138.00,138.50,-,0.50,138.50,1,139.50,2,-,2026-05-15
2239,英利-KY,106603,106,2291893,21.35,21.90,21.35,21.60,-,0.15,21.50,1,21.60,1,-,2026-05-15
2243,宏旭-KY,728154,392,15459947,21.95,21.95,21.00,21.00,-,0.70,21.00,55,21.05,10,8.43,2026-05-15
2248,華勝-KY,47158,36,2554609,54.20,54.90,53.20,54.70,+,0.40,54.50,1,54.70,1,10.52,2026-05-15
2250,IKKA-KY,50817,86,3161780,62.10,62.50,62.00,62.50,+,0.40,62.20,1,62.80,1,18.55,2026-05-15
2637,慧洋-KY,2237628,1854,167412619,74.70,75.80,74.20,74.90,+,1.00,74.90,27,75.00,52,10.53,2026-05-15
2723,美食-KY,421234,384,27719452,66.40,66.80,65.10,65.10,-,1.40,65.00,26,65.30,1,-,2026-05-15
2762,世界健身-KY,502993,894,41891523,83.50,85.00,81.20,83.90,+,4.70,83.90,7,84.00,12,15.83,2026-05-15
2923,鼎固-KY,224680,850,5072233,23.90,25.00,21.90,21.90,-,2.35,21.85,4,22.30,13,-,2026-05-15
2929,淘帝-KY,291291,136,1606225,5.54,5.57,5.50,5.50,-,0.04,5.50,306,5.51,6,-,2026-05-15
2939,永邑-KY,24254,26,584244,24.60,24.85,23.70,23.70,-,0.90,23.55,1,23.80,2,-,2026-05-15
3661,世芯-KY,3193261,15844,15561657325,4870.00,5005.00,4720.00,4830.00,+,50.00,4825.00,5,4830.00,6,70.79,2026-05-15
3665,貿聯-KY,5373818,17966,12102164800,2250.00,2300.00,2250.00,2250.00,-,250.00,,,2250.00,3935,45.41,2026-05-15
3673,TPK-KY,47856504,30486,3166538402,69.00,69.10,64.20,64.30,-,2.30,64.30,115,64.40,75,23.73,2026-05-15
4137,麗豐-KY,161005,183,17129639,105.50,107.50,105.00,106.50,+,1.50,106.00,4,106.50,2,13.55,2026-05-15
4148,全宇生技-KY,251287,124,9081015,36.40,36.80,35.50,35.50,-,1.60,35.50,1,35.75,1,16.44,2026-05-15
4178,永笙-KY,593525,246,11237843,19.00,19.10,18.80,19.00,-,0.05,19.00,5,19.05,38,-,2026-05-15
4190,佐登-KY,22583,105,559295,24.80,25.10,24.60,24.60,-,0.15,24.55,2,24.75,1,-,2026-05-15
4439,冠星-KY,24355,23,2341480,96.50,97.10,95.80,96.40,+,1.10,96.40,1,97.00,2,11.64,2026-05-15
4552,力達-KY,118960,95,2367317,20.00,20.00,19.85,19.95,-,0.05,19.95,1,20.00,4,9.64,2026-05-15
4557,永新-KY,152376,166,7636967,50.80,51.00,49.75,49.85,-,0.95,49.85,1,49.90,1,-,2026-05-15
4560,強信-KY,227018,125,7969648,35.55,35.60,34.70,34.80,-,0.55,34.75,2,34.85,3,12.17,2026-05-15
4569,六方科-KY,1525676,2561,296172048,201.50,201.50,177.00,194.00,+,10.50,194.00,1,195.00,2,40.00,2026-05-15
4571,鈞興-KY,1983902,2434,401356537,195.00,208.00,194.00,204.50,+,13.50,204.50,7,205.00,18,22.70,2026-05-15
4581,光隆精密-KY,17040,17,848208,50.00,50.20,49.40,49.40,-,0.60,49.30,2,49.90,2,11.82,2026-05-15
4763,材料*-KY,6335377,3602,267555867,41.80,42.85,41.75,42.25,+,0.90,42.25,28,42.30,16,6.93,2026-05-15
4807,日成-KY,759528,821,20508215,27.50,27.55,25.20,25.20,+,0.15,25.20,1,25.30,10,18.39,2026-05-15
4912,聯德控股-KY,3701213,4291,378777175,102.00,109.00,99.20,104.50,,,104.00,19,104.50,31,54.43,2026-05-15
4927,泰鼎-KY,12136457,7001,611130419,50.80,51.60,49.10,50.40,-,0.40,50.40,113,50.50,127,-,2026-05-15
4935,茂林-KY,107335,79,3870901,36.00,36.45,36.00,36.05,,,36.05,5,36.10,4,26.31,2026-05-15
4943,康控-KY,45847,59,416819,9.03,9.33,9.02,9.33,+,0.03,9.33,1,9.48,1,-,2026-05-15
4958,臻鼎-KY,69591675,84209,31456551407,456.00,471.50,433.50,436.50,-,6.00,436.00,203,436.50,15,61.57,2026-05-15
4977,眾達-KY,12705072,12980,3051474828,244.50,248.00,233.50,235.50,-,8.00,235.50,74,236.00,31,53.28,2026-05-15
5215,科嘉-KY,3492242,2508,168598994,50.90,50.90,43.80,45.00,-,1.30,44.55,1,45.00,1,22.06,2026-05-15
5225,東科-KY,223860,258,15928406,71.80,71.80,70.80,70.80,-,0.70,70.80,20,71.00,1,7.65,2026-05-15
5243,乙盛-KY,3027294,2885,307679727,104.00,105.00,100.00,101.00,-,2.00,101.00,39,101.50,7,20.74,2026-05-15
5284,jpp-KY,2134244,3289,825215012,394.50,396.50,380.00,386.00,-,8.00,385.00,2,386.00,4,28.81,2026-05-15
5288,豐祥-KY,236619,398,36464266,158.00,158.00,151.50,152.50,-,5.50,152.50,3,153.00,3,12.68,2026-05-15
5538,東明-KY,301666,67,10221223,33.50,33.90,33.50,33.90,+,3.05,33.90,71,,,9.83,2026-05-15
5546,永固-KY,25000,15,404550,15.70,16.50,15.70,15.95,-,0.25,15.80,2,16.20,1,-,2026-05-15
5871,中租-KY,5812983,3859,628758076,107.50,109.50,107.50,108.00,+,0.50,107.50,429,108.50,351,10.11,2026-05-15
5871A,中租-KY甲特,81357,43,8310914,102.50,102.50,102.00,102.00,,,102.00,78,102.50,48,-,2026-05-15
5906,台南-KY,1010,2,46915,46.45,46.45,46.45,46.45,-,0.05,43.85,2,47.20,2,64.51,2026-05-15
5907,大洋-KY,366100,132,1903213,5.23,5.28,5.15,5.17,-,0.05,5.17,4,5.19,3,-,2026-05-15
6415,矽力*-KY,7352889,10920,3698719767,492.00,514.00,490.00,503.00,+,35.50,503.00,1,504.00,27,78.72,2026-05-15
6431,光麗-KY,117184,73,2408633,21.00,21.00,20.00,21.00,,,21.00,9,21.20,25,-,2026-05-15
6451,訊芯-KY,10570409,14427,5398319346,484.00,525.00,471.50,525.00,+,47.00,525.00,145,,,-,2026-05-15
6456,GIS-KY,6393238,4628,442951201,70.60,71.20,67.90,68.50,-,1.10,68.40,9,68.50,3,-,2026-05-15
6525,捷敏-KY,2069885,1558,236103076,107.00,116.50,107.00,116.50,+,10.50,116.50,2318,,,19.19,2026-05-15
6541,泰福-KY,1108971,980,43436645,40.00,40.30,38.55,38.55,-,2.30,38.55,7,38.65,1,-,2026-05-15
6550,北極星藥業-KY,2779877,1487,48124590,17.90,18.10,16.75,17.00,-,0.90,17.00,6,17.05,3,-,2026-05-15
6573,虹揚-KY,235833,161,3116315,13.30,13.45,13.05,13.15,-,0.50,13.10,5,13.15,1,10.04,2026-05-15
6591,動力-KY,592171,592,31111099,53.90,54.10,51.90,52.60,-,1.00,52.60,9,52.70,2,12.26,2026-05-15
6598,ABC-KY,223428,183,5362640,24.50,24.90,23.65,23.75,-,0.40,23.75,1,24.00,3,-,2026-05-15
6641,基士德-KY,42174,34,775613,18.30,18.50,18.30,18.35,-,0.15,18.35,1,18.40,2,38.23,2026-05-15
6666,羅麗芬-KY,10312,22,419124,41.40,41.40,40.45,40.45,+,0.10,40.45,2,40.65,1,18.73,2026-05-15
6671,三能-KY,63629,68,1854901,29.45,29.45,28.90,29.20,-,0.30,29.15,5,29.20,9,12.32,2026-05-15
6672,騰輝電子-KY,5148804,5215,1006613270,199.50,201.00,192.50,195.00,-,3.00,195.00,68,195.50,4,35.26,2026-05-15
6768,志強-KY,898382,982,76659030,87.70,87.90,84.20,84.20,-,3.50,84.20,2,84.60,2,15.95,2026-05-15
6781,AES-KY,1867751,8787,2239007170,1245.00,1260.00,1170.00,1185.00,-,55.00,1185.00,8,1190.00,19,31.02,2026-05-15
6807,峰源-KY,21035,19,712569,34.45,34.50,33.15,33.90,+,0.50,33.50,1,34.00,1,9.94,2026-05-15
6854,錼創科技-KY創,526896,455,77162655,145.00,148.00,145.00,147.00,+,2.50,147.00,10,147.50,7,-,2026-05-15
6862,三集瑞-KY,852526,1357,141165682,163.50,173.00,161.50,162.00,+,1.00,162.00,6,162.50,1,26.56,2026-05-15
6863,永道-KY,165153,670,19028078,116.50,117.50,113.00,113.00,-,3.00,113.00,7,114.00,1,103.67,2026-05-15
6887,寶綠特-KY,51021,60,1867440,36.50,37.10,36.50,36.50,-,1.30,36.50,1,36.60,1,15.40,2026-05-15
6890,來億-KY,342301,403,55761316,163.50,167.00,161.00,161.50,-,2.00,161.00,15,161.50,3,15.97,2026-05-15
6924,榮惠-KY創,287778,282,34133886,125.50,125.50,114.00,120.00,-,3.50,119.00,12,120.00,2,17.99,2026-05-15
6933,AMAX-KY,756602,946,130506121,183.50,183.50,167.00,168.50,-,15.00,168.50,7,169.00,3,28.27,2026-05-15
6957,裕慶-KY,206816,233,32230390,156.50,159.00,153.50,159.00,,,157.00,1,159.00,4,15.54,2026-05-15
6962,奕力-KY,5239301,2718,198226614,38.50,38.65,37.25,37.25,-,0.85,37.25,36,37.40,1,25.51,2026-05-15
6965,中傑-KY,109436,101,8612336,78.40,79.00,78.10,78.10,-,0.60,78.10,1,78.70,2,22.77,2026-05-15
7749,意騰-KY,690452,1317,342237229,495.00,505.00,483.00,500.00,+,12.00,500.00,1,502.00,1,44.92,2026-05-15
7823,奧義賽博-KY創,219792,259,21031985,90.20,99.10,90.00,98.50,+,8.30,98.40,2,98.50,8,-,2026-05-15
8404,百和興業-KY,574535,276,9438592,16.45,16.70,16.30,16.50,-,0.10,16.45,9,16.50,3,15.14,2026-05-15
8411,福貞-KY,89596,101,1098654,12.30,12.40,12.20,12.25,-,0.15,12.15,16,12.25,3,122.50,2026-05-15
8429,金麗-KY,492451,447,3079248,6.22,6.35,6.22,6.23,-,0.12,6.23,1,6.25,10,56.64,2026-05-15
8442,威宏-KY,664459,442,29971136,45.00,46.00,45.00,45.10,-,4.90,45.10,2,45.15,2,11.03,2026-05-15
8466,美吉吉-KY,232576,165,3367031,15.15,15.15,14.00,14.15,-,1.05,14.15,1,14.20,5,-,2026-05-15
8467,波力-KY,31714,50,4204689,134.50,134.50,131.00,131.00,-,3.00,131.00,2,131.50,1,15.21,2026-05-15
8482,商億-KY,12108,15,583279,49.60,49.60,47.70,48.05,-,0.95,47.50,8,48.30,2,20.36,2026-05-15
8488,吉源-KY,14000,11,138860,9.91,9.98,9.85,9.89,-,0.10,9.86,1,9.91,1,-,2026-05-15
8499,鼎炫-KY,351802,4658,105026337,307.50,312.00,288.50,295.00,-,16.00,295.00,4,297.00,4,29.56,2026-05-15
9802,鈺齊-KY,852830,804,66337905,79.10,79.50,77.00,77.00,-,2.20,77.00,2,77.40,8,13.58,2026-05-15
1256,鮮活果汁-KY,88741,1064,16103186,182.50,184.50,179.00,179.50,-,5.50,179.00,1,180.00,1,13.56,2026-05-17
1337,再生-KY,650659,392,3144472,4.90,4.92,4.77,4.80,-,0.10,4.80,1,4.81,11,-,2026-05-17
1338,廣華-KY,145177,128,2202968,15.50,15.60,15.05,15.20,-,0.25,15.15,1,15.20,2,-,2026-05-17
1340,勝悅-KY,197395,356,1086401,5.55,5.55,5.43,5.44,-,0.11,5.44,1,5.52,2,-,2026-05-17
1341,富林-KY,17046,16,1040351,60.90,61.40,60.90,61.00,+,0.30,60.80,1,61.10,1,14.95,2026-05-17
1590,亞德客-KY,1939058,1417,2828867459,1475.00,1475.00,1430.00,1465.00,,,1460.00,1,1465.00,13,32.07,2026-05-17
1626,艾美特-KY,57880,123,580950,10.05,10.15,9.97,10.00,,,10.00,3,10.15,10,-,2026-05-17
2115,六暉-KY,296193,162,5951362,20.35,20.40,19.90,20.00,-,0.45,20.00,2,20.05,1,15.75,2026-05-17
2236,百達-KY,396964,624,54127043,139.00,140.00,133.00,133.50,-,5.00,133.50,3,134.00,2,-,2026-05-17
2239,英利-KY,207365,142,4382103,21.90,21.90,20.90,21.40,-,0.20,21.20,2,21.40,2,-,2026-05-17
2243,宏旭-KY,526636,311,11149677,21.40,21.75,20.90,21.20,+,0.20,21.15,1,21.20,22,8.51,2026-05-17
2248,華勝-KY,46249,38,2509808,54.40,55.40,53.60,54.10,-,0.60,54.00,6,54.20,1,9.14,2026-05-17
2250,IKKA-KY,85255,102,5331159,62.60,63.70,62.00,62.00,-,0.50,62.00,8,62.20,1,18.40,2026-05-17
2637,慧洋-KY,2400593,3214,176325284,75.00,75.30,72.00,72.80,-,2.10,72.70,8,72.80,8,10.24,2026-05-17
2723,美食-KY,556435,423,36020223,65.60,66.00,63.90,64.20,-,0.90,64.20,2,64.40,21,-,2026-05-17
2762,世界健身-KY,318912,1109,26116425,84.50,84.50,80.40,82.00,-,1.90,81.10,3,82.10,5,15.47,2026-05-17
2923,鼎固-KY,66578,153,1452383,22.40,22.40,21.30,21.65,-,0.25,21.70,1,21.95,3,-,2026-05-17
2929,淘帝-KY,521637,208,2853778,5.50,5.54,5.39,5.39,-,0.11,5.39,221,5.41,12,-,2026-05-17
2939,永邑-KY,5003,7,118069,23.20,23.70,23.20,23.70,,,23.35,1,23.70,9,-,2026-05-17
3661,世芯-KY,2725430,20173,12900504070,4990.00,5010.00,4595.00,4605.00,-,225.00,4605.00,3,4610.00,3,67.49,2026-05-17
3665,貿聯-KY,10273858,32388,22019028710,2335.00,2335.00,2060.00,2095.00,-,155.00,2095.00,46,2100.00,7,42.28,2026-05-17
3673,TPK-KY,20845321,12941,1329558388,64.10,65.30,62.00,64.70,+,0.40,64.70,2,64.80,64,23.87,2026-05-17
4137,麗豐-KY,289249,305,30325955,106.50,106.50,104.00,104.00,-,2.50,104.00,56,105.00,6,13.23,2026-05-17
4148,全宇生技-KY,57536,63,2028600,36.00,36.00,34.75,35.00,-,0.50,35.00,3,35.30,1,16.20,2026-05-17
4178,永笙-KY,429546,222,8111990,19.00,19.00,18.80,19.00,,,18.95,30,19.00,40,-,2026-05-17
4190,佐登-KY,47627,251,1160564,24.55,24.60,24.15,24.55,-,0.05,24.35,1,24.60,13,-,2026-05-17
4439,冠星-KY,27612,224,2612288,96.00,96.00,92.60,96.00,-,0.40,95.00,1,96.00,2,11.59,2026-05-17
4552,力達-KY,125786,78,2499611,19.80,19.95,19.80,19.80,-,0.15,19.80,10,19.90,1,12.86,2026-05-17
