日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記,date
1150514,金融保險類報酬指數,4844.10,-,18.66,-0.38,,2026-05-15
1150514,貿易百貨類報酬指數,393.63,+,0.32,0.08,,2026-05-15
1150514,油電燃氣類報酬指數,127.41,-,0.88,-0.69,,2026-05-15
1150514,綠能環保類報酬指數,127.19,-,1.75,-1.36,,2026-05-15
1150514,數位雲端類報酬指數,37.90,-,0.60,-1.56,,2026-05-15
1150514,運動休閒類報酬指數,63.31,-,0.71,-1.11,,2026-05-15
1150514,居家生活類報酬指數,107.73,-,1.48,-1.36,,2026-05-15
1150514,其他類報酬指數,495.40,-,1.36,-0.27,,2026-05-15
1150514,臺灣生技報酬指數,4034.62,-,20.08,-0.50,,2026-05-15
1150514,臺灣中小型公司治理報酬指數,30643.40,-,295.92,-0.96,,2026-05-15
1150514,臺灣IPO報酬指數,11908.48,-,94.72,-0.79,,2026-05-15
1150514,智慧中立報酬指數,4137.60,+,24.82,0.60,,2026-05-15
1150514,加權指數掩護性臺指買權價外5%報酬指數,15471.98,+,265.91,1.75,,2026-05-15
1150514,臺灣企業社會責任中小型報酬指數,20531.99,+,117.03,0.57,,2026-05-15
1150514,特選臺灣電動車代表報酬指數,24793.89,-,709.70,-2.78,,2026-05-15
1150514,臺灣科技龍頭通訊報酬指數,28381.21,+,237.03,0.84,,2026-05-15
1150514,臺灣全市場報酬指數,17159.45,+,120.84,0.71,,2026-05-15
1150514,臺灣全市場半導體報酬指數,22409.69,+,326.81,1.48,,2026-05-15
1150514,臺灣智慧移動與電動車報酬指數,18132.75,+,13.47,0.07,,2026-05-15
1150514,特選小資高價30報酬指數,24245.20,+,269.29,1.12,,2026-05-15
1150514,特選臺灣綠能及電動車報酬指數,12865.71,-,21.86,-0.17,,2026-05-15
1150514,特選臺灣智能車供應鏈聯盟報酬指數,19533.71,+,136.22,0.70,,2026-05-15
1150514,臺灣全市場半導體精選30報酬指數,17753.07,+,386.72,2.23,,2026-05-15
1150514,特選臺灣高股息30報酬指數,9439.74,+,26.36,0.28,,2026-05-15
1150514,臺灣友善環境報酬指數,14459.85,+,107.68,0.75,,2026-05-15
