Date,stock_id,stock_name,pe,div_yield,pb,date
1150514,2302,麗正,31.96,1.39,2.35,2026-05-15
1150514,2303,聯電,27.14,2.41,3.34,2026-05-15
1150514,2305,全友,60.56,,1.41,2026-05-15
1150514,2308,台達電,79.46,0.54,18.69,2026-05-15
1150514,2312,金寶,27.16,2.12,1.89,2026-05-15
1150514,2313,華通,43.3,1.14,6.25,2026-05-15
1150514,2314,台揚,,,23.77,2026-05-15
1150514,2316,楠梓電,8.68,1.49,1.77,2026-05-15
1150514,2317,鴻海,18.03,2.94,1.93,2026-05-15
1150514,2321,東訊,,,2.21,2026-05-15
1150514,2323,中環,6.33,2.0,0.57,2026-05-15
1150514,2324,仁寶,21.92,3.64,1.0,2026-05-15
1150514,2327,國巨*,40.21,1.3,5.56,2026-05-15
1150514,2328,廣宇,33.21,1.74,1.8,2026-05-15
1150514,2329,華泰,26.33,1.72,3.35,2026-05-15
1150514,2330,台積電,34.27,0.97,10.86,2026-05-15
1150514,2331,精英,39.8,1.06,1.02,2026-05-15
1150514,2332,友訊,,0.73,1.0,2026-05-15
1150514,2337,旺宏,,,6.61,2026-05-15
1150514,2338,光罩,,,3.12,2026-05-15
1150514,2340,台亞,,,2.52,2026-05-15
1150514,2342,茂矽,,0.71,2.84,2026-05-15
1150514,2344,華邦電,39.76,0.37,5.17,2026-05-15
1150514,2345,智邦,50.59,0.56,22.89,2026-05-15
1150514,2347,聯強,14.49,5.04,1.77,2026-05-15
1150514,2348,海悅,16.8,7.89,1.51,2026-05-15
1150514,2349,錸德,,,1.62,2026-05-15
1150514,2351,順德,80.53,0.6,4.58,2026-05-15
1150514,2352,佳世達,41.29,3.91,1.38,2026-05-15
1150514,2353,宏碁,21.21,4.64,1.16,2026-05-15
1150514,2354,鴻準,27.96,2.54,0.78,2026-05-15
1150514,2355,敬鵬,31.89,1.86,1.21,2026-05-15
1150514,2356,英業達,20.23,3.76,2.6,2026-05-15
1150514,2357,華碩,12.13,6.19,1.76,2026-05-15
1150514,2359,所羅門,63.4,0.81,3.67,2026-05-15
1150514,2360,致茂,71.27,0.86,34.52,2026-05-15
1150514,2362,藍天,17.46,5.12,0.51,2026-05-15
1150514,2363,矽統,37.06,0.95,1.59,2026-05-15
1150514,2364,倫飛,17.65,4.35,4.63,2026-05-15
1150514,2365,昆盈,90.51,0.85,2.52,2026-05-15
1150514,2367,燿華,,0.31,3.61,2026-05-15
1150514,2368,金像電,64.56,0.7,20.97,2026-05-15
1150514,2369,菱生,,0.99,2.34,2026-05-15
1150514,2371,大同,,10.72,1.28,2026-05-15
1150514,2373,震旦行,14.32,6.64,1.67,2026-05-15
1150514,2374,佳能,28.88,2.24,3.03,2026-05-15
1150514,2375,凱美,27.08,1.19,1.11,2026-05-15
1150514,2376,技嘉,17.97,3.67,3.71,2026-05-15
1150514,2377,微星,12.23,3.59,1.8,2026-05-15
1150514,2379,瑞昱,20.66,4.36,6.55,2026-05-15
1150514,2380,虹光,29.3,,2.27,2026-05-15
1150514,2382,廣達,16.82,4.66,6.21,2026-05-15
1150514,2383,台光電,106.72,0.51,36.77,2026-05-15
1150514,2385,群光,14.28,5.69,2.23,2026-05-15
1150514,2387,精元,13.53,10.38,0.73,2026-05-15
1150514,2388,威盛,421.11,0.26,1.93,2026-05-15
1150514,2390,云辰,,,0.83,2026-05-15
1150514,2392,正崴,,2.91,0.72,2026-05-15
1150514,2393,億光,15.68,6.85,1.42,2026-05-15
1150514,2395,研華,36.07,2.41,8.14,2026-05-15
1150514,2397,友通,26.29,4.02,2.16,2026-05-15
1150514,2399,映泰,30.26,,3.41,2026-05-15
1150514,2401,凌陽,,,1.78,2026-05-15
1150514,2402,毅嘉,34.82,2.95,2.94,2026-05-15
1150514,2404,漢唐,19.52,3.81,13.79,2026-05-15
1150514,2405,輔信,,0.67,1.48,2026-05-15
1150514,2406,國碩,,,3.13,2026-05-15
1150514,2408,南亞科,30.53,0.44,5.48,2026-05-15
1150514,2409,友達,61.09,2.05,0.99,2026-05-15
1150514,2412,中華電,27.34,3.78,2.69,2026-05-15
1150514,2413,環科,56.95,1.14,2.69,2026-05-15
1150514,2414,精技,13.8,6.16,2.3,2026-05-15
1150514,2415,錩新,13.88,5.97,1.35,2026-05-15
1150514,2417,圓剛,188.85,0.51,2.27,2026-05-15
1150514,2419,仲琦,,,1.97,2026-05-15
1150514,2420,新巨,14.44,5.27,2.09,2026-05-15
1150514,2421,建準,17.77,3.78,3.68,2026-05-15
