股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記,date
00986A,主動台新龍頭成長,21,11,,57,67,10831,,,,,,10831,, ,2026-05-15
00987A,主動台新優勢成長,255,201,,3685,3739,50160,,2,,20,22,50160,1, ,2026-05-15
00988A,主動統一全球創新,5284,2390,,40153,43047,460734,55,5299,,22793,28037,460734,4, ,2026-05-15
00989A,主動摩根美國科技,4,2,,139,141,21029,,,,,,21029,, ,2026-05-15
00990A,主動元大AI新經濟,1624,380,50,10864,12058,454130,67,10,,216,159,454130,1, ,2026-05-15
00991A,主動復華未來50,7947,3379,213,52416,56771,614604,3,190,,228,415,614604,48, ,2026-05-15
00992A,主動群益科技創新,1231,6407,,64196,59020,714738,10,2,,800,792,714738,, ,2026-05-15
00993A,主動安聯台灣,175,247,,2166,2094,222772,,2,,42,44,222772,, ,2026-05-15
00994A,主動第一金台股優,246,165,,9704,9785,79172,,,,1,1,79172,, ,2026-05-15
00995A,主動中信台灣卓越,22,366,,3081,2737,81758,,,,13,13,81758,, ,2026-05-15
00996A,主動兆豐台灣豐收,300,172,,3433,3561,84349,,,,19,19,84349,, ,2026-05-15
00997A,主動群益美國增長,492,674,,9712,9530,250969,,1,,1,2,250969,, ,2026-05-15
00999A,主動野村臺灣高息,589,1967,,12429,11051,402754,,,,2,2,402754,, ,2026-05-15
1101,台泥,371,416,66,32218,32107,1880795,7,,,104,97,1880795,, ,2026-05-15
1102,亞泥,46,57,,1412,1401,886640,,,,14,14,886640,, ,2026-05-15
1103,嘉泥,48,,,4073,4121,197561,,,,,,197561,, ,2026-05-15
1104,環泥,3,3,,1014,1014,171670,,,,,,171670,, ,2026-05-15
1108,幸福,37,,,784,821,101184,,,,,,101184,, ,2026-05-15
1109,信大,6,,,400,406,85289,,,,,,85289,2, ,2026-05-15
1110,東泥,14,7,,2764,2771,143000,,,,,,143000,, ,2026-05-15
1201,味全,23,,,1385,1408,126515,,,,4,4,126515,, ,2026-05-15
1203,味王,,,,6,6,60000,,,,,,60000,, ,2026-05-15
1210,大成,17,35,,1850,1832,223691,,,,,,223691,, ,2026-05-15
1213,大飲,,,,,,,,,,,,,,OX ,2026-05-15
1215,卜蜂,7,7,,278,278,73697,,,,,,73697,, ,2026-05-15
1216,統一,7,148,2,1224,1081,1420503,,5,,9,14,1420503,, ,2026-05-15
1217,愛之味,,41,,2096,2055,123628,,,,6,6,123628,, ,2026-05-15
1218,泰山,37,5,,1541,1573,124999,,,,,,124999,, ,2026-05-15
1219,福壽,15,,,1319,1334,85309,,,,,,85309,, ,2026-05-15
1220,台榮,,,,1135,1135,44269,,,,,,44269,, ,2026-05-15
1225,福懋油,307,28,,6908,7187,60567,,,,,,60567,, ,2026-05-15
1227,佳格,16,24,,1066,1058,228772,,,,,,228772,, ,2026-05-15
1229,聯華,105,92,1,2846,2858,448990,,,,1,1,448990,, ,2026-05-15
1231,聯華食,,2,,266,264,74613,,,,,,74613,, ,2026-05-15
1232,大統益,,,,4,4,39993,,,,,,39993,, ,2026-05-15
1233,天仁,,,,57,57,22647,,,,,,22647,, ,2026-05-15
1234,黑松,,10,,33,23,100467,,,,,,100467,, ,2026-05-15
1235,興泰,,,,810,810,47144,,,,,,47144,, ,2026-05-15
1236,宏亞,4,,,219,223,21668,,,,,,21668,, ,2026-05-15
1256,鮮活果汁-KY,6,14,,301,293,8943,,,,,,8943,, ,2026-05-15
1301,台塑,653,148,81,17536,17960,1591435,3,2,1,243,241,1591435,, ,2026-05-15
1303,南亞,2367,1624,10,45722,46455,1982705,86,39,,2964,2917,1982705,82, ,2026-05-15
1304,台聚,152,282,2,12695,12563,297190,32,2,,164,134,297190,, ,2026-05-15
1305,華夏,293,630,2,7682,7343,145262,3,,,263,260,145262,, ,2026-05-15
1307,三芳,15,96,,1771,1690,99454,,,,1,1,99454,, ,2026-05-15
1308,亞聚,62,62,4,8071,8067,148435,1,,,45,44,148435,, ,2026-05-15
1309,台達化,102,261,5,8962,8798,99396,3,24,4,1395,1412,99396,, ,2026-05-15
1310,台苯,380,852,10,11939,11457,131967,,16,,1,17,131967,19, ,2026-05-15
1312,國喬,570,711,34,16478,16303,276655,,10,,29,39,276655,, ,2026-05-15
1313,聯成,212,418,15,11660,11439,337711,,,,3,3,337711,, ,2026-05-15
1314,中石化,512,563,,47579,47528,946212,,99,,9,108,946212,43, ,2026-05-15
1315,達新,,1,,61,60,24774,,,,,,24774,, ,2026-05-15
1316,上曜,77,17,,11110,11170,93986,1,1,,5,5,93986,, ,2026-05-15
1319,東陽,56,111,,5569,5514,147869,,,,3,3,147869,, ,2026-05-15
1321,大洋,41,14,100,7143,7070,56807,,,,,,56807,, ,2026-05-15
1323,永裕,1,,,120,121,22818,,,,,,22818,, ,2026-05-15
1324,地球,15,133,,1582,1464,18780,,,,,,18780,, ,2026-05-15
1325,恆大,11,9,2,2619,2619,21320,,,,16,16,21320,, ,2026-05-15
1326,台化,959,719,1,15637,15876,1465296,16,14,,67,65,1465296,1, ,2026-05-15
1337,再生-KY,4,,,21091,21095,67238,,,,,,67238,, ,2026-05-15
1338,廣華-KY,9,,,2306,2315,20960,,,,1,1,20960,, ,2026-05-15
1339,昭輝,31,4,,592,619,18534,,,,,,18534,, ,2026-05-15
1340,勝悅-KY,,2,,1079,1077,38230,,,,,,38230,, ,2026-05-15
1342,八貫,7,10,2,555,550,19500,,,,,,19500,, ,2026-05-15
1402,遠東新,211,360,,9309,9160,1338218,,,,14,14,1338218,, ,2026-05-15
1409,新纖,433,859,,10607,10181,404602,,28,,5,33,404602,5, ,2026-05-15
1410,南染,,,,317,317,15500,,,,,,15500,, ,2026-05-15
1413,宏洲,,,,,,,,,,,,,,OX ,2026-05-15
1414,東和,39,120,,1022,941,49500,,,,,,49500,, ,2026-05-15
1416,廣豐,15,85,,3846,3776,46335,,,,,,46335,, ,2026-05-15
1417,嘉裕,12,,,1443,1455,47485,,,,,,47485,, ,2026-05-15
1418,東華,6,6,,716,716,11708,,,,,,11708,, ,2026-05-15
1419,新紡,24,9,,1318,1333,75010,,,,3,3,75010,, ,2026-05-15
1423,利華,2,12,,86,76,24912,,,,,,24912,, ,2026-05-15
1432,大魯閣,,,,94,94,22500,,,,,,22500,, ,2026-05-15
1434,福懋,140,670,2,3134,2602,421166,,,,,,421166,, ,2026-05-15
1435,中福,,,,,,,,,,,,,,OX!,2026-05-15
1436,華友聯,1,,,857,858,48537,,,,11,11,48537,, ,2026-05-15
1437,勤益控,2,15,,1980,1967,50467,,,,,,50467,, ,2026-05-15
1438,三地開發,2,31,,88,59,22801,,,,,,22801,, ,2026-05-15
1439,雋揚,,,,1205,1205,23000,,,,,,23000,, ,2026-05-15
1440,南紡,53,46,5,4968,4970,414203,,,,,,414203,, ,2026-05-15
1441,大東,,,,,,,,,,,,,,OX ,2026-05-15
1442,名軒,56,3,,3078,3131,91552,,,,5,5,91552,, ,2026-05-15
1443,立益物流,,,,47,47,33835,,,,,,33835,, ,2026-05-15
1444,力麗,,1,,1016,1015,,,,,,,,,OX ,2026-05-15
1445,大宇,,,,1303,1303,32666,,,,,,32666,, ,2026-05-15
1446,宏和,,41,,2358,2317,34427,,,,,,34427,, ,2026-05-15
1447,力鵬,,18,,2635,2617,,,,,,,,,OX ,2026-05-15
1449,佳和,36,29,16,3992,3983,31778,5,,,12,7,31778,1, ,2026-05-15
1451,年興,4,1,,610,613,49500,,,,,,49500,, ,2026-05-15
1452,宏益,,1,,104,103,33160,,,,,,33160,, ,2026-05-15
1453,大將,4,1,,1305,1308,28310,,,,,,28310,, ,2026-05-15
1454,台富,19,,,2072,2091,32458,,,,,,32458,, ,2026-05-15
1455,集盛,13,23,,2839,2829,132922,,9,,17,26,132922,, ,2026-05-15
1456,怡華,8,6,,313,315,23430,,,,,,23430,, ,2026-05-15
1457,宜進,,,,503,503,79182,,,,,,79182,, ,2026-05-15
1459,聯發,15,5,,359,369,89657,,,,,,89657,, ,2026-05-15
1460,宏遠,,,,,,,,,,,,,,OX ,2026-05-15
1463,強盛新,2,2,,252,252,43317,,,,,,43317,, ,2026-05-15
1464,得力,118,2,6,1858,1968,106393,,,,,,106393,, ,2026-05-15
1465,偉全,26,15,,3327,3338,25901,,,,,,25901,, ,2026-05-15
1466,聚隆,70,30,,4676,4716,27789,1,1,,2,2,27789,1, ,2026-05-15
1467,南緯,54,35,,4559,4578,42052,,,,,,42052,, ,2026-05-15
1468,昶和,,,,,,,,,,,,,,OX ,2026-05-15
1470,大統新創,,,,6,6,21441,,,,,,21441,, ,2026-05-15
1471,首利,,,,,,,,,,,,,,OX ,2026-05-15
1472,三洋實業,,,,4149,4149,8747,,,,,,8747,, ,2026-05-15
1473,台南,,,2,829,827,36538,,,,,,36538,, ,2026-05-15
