stock_id,stock_name,industry,sub_sector,source,confidence
2497,怡利電,汽車工業,未分類,default,low
2514,龍邦,其他,未分類,default,low
2601,益航,貿易百貨,未分類,default,low
2614,東森,其他,未分類,default,low
2616,山隆,油電燃氣,未分類,default,low
2901,欣欣,貿易百貨,未分類,default,low
2903,遠百,貿易百貨,未分類,default,low
2904,匯僑,其他,未分類,default,low
2905,三商,貿易百貨,未分類,default,low
2906,高林,貿易百貨,未分類,default,low
2908,特力,貿易百貨,未分類,default,low
2910,統領,貿易百貨,未分類,default,low
2911,麗嬰房,貿易百貨,未分類,default,low
2913,農林,貿易百貨,未分類,default,low
2929,淘帝-KY,貿易百貨,未分類,default,low
2939,永邑-KY,貿易百貨,未分類,default,low
2945,三商家購,貿易百貨,未分類,default,low
3010,華立,電子通路業,未分類,default,low
3028,增你強,電子通路業,未分類,default,low
3029,零壹,資訊服務業,未分類,default,low
3033,威健,電子通路業,未分類,default,low
3036,文曄,電子通路業,未分類,default,low
3040,遠見,其他,未分類,default,low
3048,益登,電子通路業,未分類,default,low
3055,蔚華科,電子通路業,未分類,default,low
3130,一零四,Unknown,未分類,default,low
3167,大量,電機機械,未分類,default,low
3209,全科,電子通路業,未分類,default,low
3312,弘憶股,電子通路業,未分類,default,low
3346,麗清,汽車工業,未分類,default,low
3528,安馳,電子通路業,未分類,default,low
3557,嘉威,Unknown,未分類,default,low
3702,大聯大,電子通路業,未分類,default,low
3708,上緯投控,Unknown,未分類,default,low
3717,聯嘉投控,汽車工業,未分類,default,low
4526,東台,電機機械,未分類,default,low
4532,瑞智,電機機械,未分類,default,low
4536,拓凱,Unknown,未分類,default,low
4540,全球傳動,電機機械,未分類,default,low
4551,智伸科,汽車工業,未分類,default,low
4552,力達-KY,電機機械,未分類,default,low
4555,氣立,電機機械,未分類,default,low
4557,永新-KY,汽車工業,未分類,default,low
4560,強信-KY,電機機械,未分類,default,low
4562,穎漢,電機機械,未分類,default,low
4564,元翎,電機機械,未分類,default,low
4566,時碩工業,電機機械,未分類,default,low
4569,六方科-KY,汽車工業,未分類,default,low
