stock_id,stock_name,industry,sub_sector,source,confidence,amount
1541,錩泰,電機機械,未分類,manual_override,high,1163675.0
1817,凱撒衛,玻璃陶瓷,未分類,manual_override,high,1127289.0
1512,瑞利,汽車工業,未分類,manual_override,high,1079142.0
1531,高林股,電機機械,未分類,manual_override,high,1072338.0
2496,卓越,其他,未分類,manual_override,high,1050878.0
6655,科定,其他,未分類,manual_override,high,1040216.0
9905,大華,其他,未分類,manual_override,high,984665.0
8481,政伸,其他,未分類,manual_override,high,902613.0
9928,中視,其他,未分類,manual_override,high,832990.0
1443,立益物流,其他,未分類,manual_override,high,782113.0
2904,匯僑,其他,未分類,manual_override,high,781339.0
2254,巨鎧精密-創,汽車工業,未分類,manual_override,high,717727.0
6958,日盛台駿,其他,未分類,manual_override,high,503771.0
8443,阿瘦,貿易百貨,未分類,manual_override,high,403045.0
2901,欣欣,貿易百貨,未分類,manual_override,high,387801.0
2910,統領,貿易百貨,未分類,manual_override,high,358708.0
6641,基士德-KY,Unknown,未分類,manual_override,high,350738.0
9110,越南控-DR,Unknown,未分類,manual_override,high,315340.0
2945,三商家購,貿易百貨,未分類,manual_override,high,227322.0
5906,台南-KY,貿易百貨,未分類,manual_override,high,205098.0
6807,峰源-KY,Unknown,未分類,manual_override,high,199642.0
6771,平和環保-創,Unknown,未分類,manual_override,high,172980.0
2939,永邑-KY,貿易百貨,未分類,manual_override,high,157922.0
8482,商億-KY,Unknown,未分類,manual_override,high,156110.0
9929,秋雨,其他,未分類,manual_override,high,136387.0
1538,正峰,電機機械,未分類,manual_override,high,37291.0
8488,吉源-KY,其他,未分類,manual_override,high,9760.0
