出表日期,交易日期,權證代號,權證名稱,成交金額,成交張數,date
1150514,1150514,082094,陽明統一55購04,0.00,0,2026-05-15
1150514,1150514,082095,陽明統一55購05,0.00,0,2026-05-15
1150514,1150514,082389,景碩統一56購01,0.00,0,2026-05-15
1150514,1150514,082096,嘉澤統一55購01,0.00,0,2026-05-15
1150514,1150514,082098,精成科統一55購02,0.00,0,2026-05-15
1150514,1150514,082390,精成科統一56購01,0.00,0,2026-05-15
1150514,1150514,082274,慧洋統一55購02,0.00,0,2026-05-15
1150514,1150514,082276,聯茂統一58購01,0.00,0,2026-05-15
1150514,1150514,082099,聯茂統一55購01,0.00,0,2026-05-15
1150514,1150514,082391,聯茂統一56購01,0.00,0,2026-05-15
1150514,1150514,082275,佳必琪統一55購02,0.00,0,2026-05-15
1150514,1150514,082090,佳能統一55購02,0.00,0,2026-05-15
1150514,1150514,082278,昇陽半統一58購01,33940.00,18000,2026-05-15
1150514,1150514,082277,泓德統一55購03,0.00,0,2026-05-15
1150514,1150514,082387,欣興統一56購01,0.00,0,2026-05-15
1150514,1150514,082388,欣興統一57購02,0.00,0,2026-05-15
1150514,1150514,082093,長榮統一55購05,0.00,0,2026-05-15
1150514,1150514,082392,南電統一56購01,0.00,0,2026-05-15
1150514,1150514,082393,南電統一56購02,0.00,0,2026-05-15
1150514,1150514,082626,南亞科統一56購01,0.00,0,2026-05-15
1150514,1150514,082629,晟銘電統一56購01,0.00,0,2026-05-15
1150514,1150514,082514,欣興統一56購02,0.00,0,2026-05-15
1150514,1150514,082512,所羅門統一56購01,0.00,0,2026-05-15
1150514,1150514,082637,來億統一56購01,0.00,0,2026-05-15
1150514,1150514,082518,聯茂統一56購02,0.00,0,2026-05-15
1150514,1150514,082517,精成科統一5C購01,0.00,0,2026-05-15
1150514,1150514,082516,精成科統一56購02,0.00,0,2026-05-15
1150514,1150514,082631,景碩統一56購02,0.00,0,2026-05-15
1150514,1150514,082513,萬海統一5C購01,0.00,0,2026-05-15
1150514,1150514,082638,鈺齊統一56購01,0.00,0,2026-05-15
1150514,1150514,082933,萬海統一56購01,0.00,0,2026-05-15
1150514,1150514,083080,萬海統一56購02,0.00,0,2026-05-15
1150514,1150514,083081,群創統一56購01,0.00,0,2026-05-15
1150514,1150514,082771,智原統一56購02,0.00,0,2026-05-15
1150514,1150514,082772,智原統一56購03,9450.00,20000,2026-05-15
1150514,1150514,082934,德律統一56購01,0.00,0,2026-05-15
1150514,1150514,082930,所羅門統一56購02,0.00,0,2026-05-15
1150514,1150514,082931,金像電統一56購01,0.00,0,2026-05-15
1150514,1150514,083078,美時統一5C購01,1190.00,6000,2026-05-15
1150514,1150514,082769,威盛統一56購01,580.00,1000,2026-05-15
1150514,1150514,083185,南亞科統一56購02,28600.00,1000,2026-05-15
1150514,1150514,083186,南亞科統一56購03,20500.00,1000,2026-05-15
1150514,1150514,083187,南亞科統一56購04,0.00,0,2026-05-15
1150514,1150514,083188,南亞科統一56購05,0.00,0,2026-05-15
1150514,1150514,083189,南亞科統一59購02,162000.00,10000,2026-05-15
1150514,1150514,083190,南亞科統一5C購01,159600.00,12000,2026-05-15
1150514,1150514,083335,南亞科統一5C購02,98800.00,8000,2026-05-15
1150514,1150514,083173,美時統一56購01,0.00,0,2026-05-15
1150514,1150514,083354,振樺電統一56購01,600.00,5000,2026-05-15
